delta_s,run_time_target,run_time_used,energy_Wh,feasible,note
0,2905.0,2905.5,373487.50537109375,True,baseline
1,2904.0,2904.5,373875.21044921875,True,ok
2,2903.0,2903.5,374271.17529296875,True,ok
3,2902.0,2902.5,374667.54150390625,True,ok
4,2901.0,2901.5,375069.0166015625,True,ok
5,2900.0,2900.5,375450.75830078125,True,ok
