station_pair,status,message,n_generated,n_overspeed,n_infeasible,summary_csv,class2_compare_status,class2_compare_message
布政-张家潭,success,生成完成,3,2,0,D:\energy_conservation\output\ato_generated_results_new_v4\布政-张家潭\all_classes_summary.csv,skipped,未找到样本
张家潭-同德路,success,生成完成,4,0,0,D:\energy_conservation\output\ato_generated_results_new_v4\张家潭-同德路\all_classes_summary.csv,success,none
同德路-石碶,success,生成完成,3,2,0,D:\energy_conservation\output\ato_generated_results_new_v4\同德路-石碶\all_classes_summary.csv,skipped,未找到样本
石碶-雅渡,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\石碶-雅渡\all_classes_summary.csv,success,none
雅渡-庙堰,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\雅渡-庙堰\all_classes_summary.csv,success,none
庙堰-钟公庙,success,生成完成,2,2,0,D:\energy_conservation\output\ato_generated_results_new_v4\庙堰-钟公庙\all_classes_summary.csv,skipped,未找到样本
钟公庙-鄞州区政府,success,生成完成,3,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\钟公庙-鄞州区政府\all_classes_summary.csv,skipped,未找到样本
鄞州区政府-钱湖南路,success,生成完成,3,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\鄞州区政府-钱湖南路\all_classes_summary.csv,success,none
钱湖南路-南高教园区,success,生成完成,2,2,0,D:\energy_conservation\output\ato_generated_results_new_v4\钱湖南路-南高教园区\all_classes_summary.csv,skipped,未找到样本
南高教园区-下应路,success,生成完成,3,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\南高教园区-下应路\all_classes_summary.csv,success,none
下应路-大洋江,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\下应路-大洋江\all_classes_summary.csv,success,none
大洋江-泗港,success,生成完成,2,2,0,D:\energy_conservation\output\ato_generated_results_new_v4\大洋江-泗港\all_classes_summary.csv,skipped,未找到样本
泗港-曹隘,success,生成完成,3,2,0,D:\energy_conservation\output\ato_generated_results_new_v4\泗港-曹隘\all_classes_summary.csv,success,none
曹隘-柳隘,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\曹隘-柳隘\all_classes_summary.csv,success,none
柳隘-海晏北路,success,生成完成,2,2,0,D:\energy_conservation\output\ato_generated_results_new_v4\柳隘-海晏北路\all_classes_summary.csv,skipped,未找到样本
海晏北路-民安东路,success,生成完成,2,2,0,D:\energy_conservation\output\ato_generated_results_new_v4\海晏北路-民安东路\all_classes_summary.csv,skipped,未找到样本
民安东路-会展中心,success,生成完成,3,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\民安东路-会展中心\all_classes_summary.csv,success,none
会展中心-院士路,success,生成完成,2,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\会展中心-院士路\all_classes_summary.csv,skipped,未找到样本
院士路-盎孟港,success,生成完成,2,2,0,D:\energy_conservation\output\ato_generated_results_new_v4\院士路-盎孟港\all_classes_summary.csv,skipped,未找到样本
盎孟港-三官堂,success,生成完成,3,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\盎孟港-三官堂\all_classes_summary.csv,success,none
三官堂-兴庄路,success,生成完成,4,0,0,D:\energy_conservation\output\ato_generated_results_new_v4\三官堂-兴庄路\all_classes_summary.csv,success,none
兴庄路-兴海南路,success,生成完成,2,2,0,D:\energy_conservation\output\ato_generated_results_new_v4\兴庄路-兴海南路\all_classes_summary.csv,success,none
兴海南路-梅堰,success,生成完成,2,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\兴海南路-梅堰\all_classes_summary.csv,skipped,未找到样本
梅堰-永茂路,success,生成完成,3,2,0,D:\energy_conservation\output\ato_generated_results_new_v4\梅堰-永茂路\all_classes_summary.csv,skipped,未找到样本
永茂路-镇海大道,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\永茂路-镇海大道\all_classes_summary.csv,success,none
镇海大道-骆驼桥,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new_v4\镇海大道-骆驼桥\all_classes_summary.csv,success,none
