站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,116.7,116.7,30.0,146.7,1428.13,1428.0,44.06,65.57,44.04,2335,63.94,1052,64.42,65.36,13263.14,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,151.2,151.2,30.0,181.2,2020.77,2017.0,48.11,64.28,48.1,3025,62.81,1787,63.8,63.95,17454.88,215.44,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,106.0,106.0,30.0,136.0,1330.27,1332.0,45.18,76.98,45.16,2121,74.36,676,74.75,76.87,16425.24,215.84,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,81.85,81.85,30.0,111.85,827.29,827.0,36.39,74.91,36.36,1638,72.87,164,73.49,74.82,13146.85,219.09,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,129.0,129.0,30.0,159.0,1860.2,1860.0,51.91,77.9,51.89,2581,77.23,1094,77.67,77.85,22390.62,220.8,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,93.9,93.9,30.0,123.9,1087.16,1086.0,41.68,77.66,41.66,1879,74.47,402,74.94,77.47,15263.71,223.6,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,88.7,88.7,30.0,118.7,984.61,984.0,39.96,77.68,39.94,1775,76.41,288,77.5,77.63,14233.17,226.0,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,127.8,127.8,30.0,157.8,1813.2,1811.0,51.08,77.32,51.06,2557,76.04,1097,76.68,77.23,20105.29,229.1,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,97.05,97.05,30.0,127.05,1168.69,1155.0,43.35,77.75,43.33,1942,76.88,465,77.55,77.66,16518.59,231.2,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,110.65,110.65,30.0,140.65,1451.61,1452.0,47.23,77.76,47.21,2214,77.13,711,77.64,77.68,22448.28,233.0,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
下应路-大洋江,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,101.45,101.45,30.0,131.45,1214.66,1214.0,43.1,71.95,43.08,2030,71.38,641,71.86,71.92,14882.91,234.3,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx
大洋江-泗港,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,92.0,92.0,30.0,122.0,958.05,957.0,37.49,61.02,37.47,1841,59.25,643,59.92,60.87,11787.96,234.1,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx
泗港-曹隘,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,134.65,134.65,30.0,164.65,1798.51,1798.0,48.08,77.81,48.07,2694,76.87,961,77.6,77.69,24805.96,235.1,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx
曹隘-柳隘,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,106.75,106.75,30.0,136.75,1308.16,1307.0,44.12,75.53,44.1,2136,73.44,468,74.67,75.2,23339.17,239.6,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_曹隘-柳隘.xlsx
柳隘-海晏北路,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,88.95,88.95,30.0,118.95,980.72,980.0,39.69,77.73,39.67,1780,76.54,286,77.56,77.68,16397.68,241.5,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_柳隘-海晏北路.xlsx
海晏北路-民安东路,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,83.35,83.35,30.0,113.35,864.87,865.0,37.35,73.37,37.33,1668,71.43,218,72.7,73.29,17856.87,247.59,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_海晏北路-民安东路.xlsx
民安东路-会展中心,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,76.75,76.75,30.0,106.75,725.69,724.0,34.04,67.3,34.02,1536,65.65,224,66.29,67.24,13003.76,238.31,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_民安东路-会展中心.xlsx
会展中心-院士路,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,114.6,114.6,30.0,144.6,1552.16,1562.0,48.76,77.66,48.74,2293,77.06,825,77.59,77.63,15757.66,230.3,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_会展中心-院士路.xlsx
院士路-盎孟港,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,90.4,90.4,30.0,120.4,994.95,994.0,39.62,77.6,39.6,1809,75.8,255,77.4,77.52,20528.78,223.5,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_院士路-盎孟港.xlsx
盎孟港-三官堂,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,131.3,131.3,30.0,161.3,1878.7,1877.0,51.51,77.01,51.49,2627,76.03,1166,76.65,76.9,19479.85,218.2,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_盎孟港-三官堂.xlsx
三官堂-兴庄路,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,98.25,98.25,30.0,128.25,1080.67,1081.0,39.6,62.94,39.58,1966,61.83,698,62.52,62.87,11524.24,216.44,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_三官堂-兴庄路.xlsx
兴庄路-兴海南路,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,87.85,87.85,30.0,117.85,959.37,958.0,39.31,72.13,39.29,1758,71.23,363,72.03,72.08,14690.72,215.74,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_兴庄路-兴海南路.xlsx
兴海南路-梅堰,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,81.45,81.45,30.0,111.45,834.65,833.0,36.89,77.49,36.87,1630,75.55,159,76.12,77.41,13205.71,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_兴海南路-梅堰.xlsx
梅堰-永茂路,9,8,07/0270208,70208,5014,UP,工作日低峰,0.0,314.05,314.05,30.0,344.05,3677.24,3676.0,42.15,66.35,42.15,6282,65.4,1647,65.82,65.98,29851.52,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_梅堰-永茂路.xlsx
永茂路-镇海大道,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,142.75,142.75,30.0,172.75,2133.15,2131.0,53.8,77.63,53.78,2856,77.22,1333,77.54,77.58,17821.92,215.44,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_永茂路-镇海大道.xlsx
镇海大道-骆驼桥,9,8,07/0270208,70208,5014,UP,工作日高峰,0.0,117.15,117.15,0.0,117.15,1596.54,1593.0,49.06,77.78,49.04,2344,77.21,864,77.65,77.73,20591.82,215.44,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_镇海大道-骆驼桥.xlsx
--- 总计 ---,,,,,,,,,,2964.55,750.0,3714.55,36530.02,36502.0,44.36,77.9,,,,,,,456776.3,...,,,,
