站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,24.1,116.7,12947.63,13263.14,13088.24,历史原始实测能耗,315.51,real,class3,class3,80,80,strong,energy_first,215.24
张家潭-同德路,class1,141.0,24.1,151.2,18247.37,17454.88,17365.54,历史原始实测能耗,-792.49,extrapolated_adjacent,class2,class2,0,8,generated,energy_first,215.44
同德路-石碶,class3,109.0,24.1,106.0,13263.38,16425.24,16058.18,历史原始实测能耗,3161.86,real,class3,class3,60,60,strong,energy_first,215.84
石碶-雅渡,class2,80.0,24.1,81.85,11002.9,13146.85,12986.26,历史原始实测能耗,2143.95,real,class2,class2,38,38,strong,energy_first,219.09
雅渡-庙堰,class4,139.0,24.1,129.0,18677.09,22390.62,21420.6,历史原始实测能耗,3713.53,real,class4,class4,10,10,strong,energy_first,220.8
庙堰-钟公庙,class4,101.0,24.1,93.9,11344.21,15263.71,15126.63,历史原始实测能耗,3919.5,extrapolated_adjacent,class3,class3,0,84,generated,energy_first,223.6
钟公庙-鄞州区政府,class4,95.0,24.1,88.7,8455.41,14233.17,14132.93,历史原始实测能耗,5777.76,real,class4,class4,1,1,weak,energy_first,226.0
鄞州区政府-钱湖南路,class4,139.0,24.1,127.8,16781.51,20105.29,19791.94,历史原始实测能耗,3323.78,extrapolated_adjacent,class3,class3,0,62,generated,energy_first,229.1
钱湖南路-南高教园区,class4,105.0,24.1,97.05,13047.9,16518.59,16411.52,历史原始实测能耗,3470.69,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,231.2
南高教园区-下应路,class4,120.0,24.1,110.65,18010.28,22448.28,22004.04,历史原始实测能耗,4438.0,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,233.0
下应路-大洋江,class3,106.0,24.1,101.45,12869.92,14882.91,14844.35,历史原始实测能耗,2012.99,real,class3,class3,65,65,strong,energy_first,234.3
大洋江-泗港,class4,96.0,24.1,92.0,10286.48,11787.96,11414.75,历史原始实测能耗,1501.48,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,234.1
泗港-曹隘,class4,137.0,24.1,134.65,24737.16,24805.96,24799.35,历史原始实测能耗,68.8,real,class4,class4,82,82,strong,energy_first,235.1
曹隘-柳隘,class4,113.0,24.1,106.75,16844.09,23339.17,23089.95,历史原始实测能耗,6495.08,real,class4,class4,1,1,weak,energy_first,239.6
柳隘-海晏北路,class4,96.0,24.1,88.95,11492.35,16397.68,16353.43,历史原始实测能耗,4905.33,extrapolated_adjacent,class3,class3,0,35,generated,energy_first,241.5
海晏北路-民安东路,class4,89.0,24.1,83.35,14221.8,17856.87,17729.22,历史原始实测能耗,3635.07,extrapolated_adjacent,class3,class3,0,41,generated,energy_first,247.59
民安东路-会展中心,class4,83.0,24.1,76.75,7904.85,13003.76,12938.84,历史原始实测能耗,5098.91,extrapolated_adjacent,class3,class3,0,8,generated,energy_first,238.31
会展中心-院士路,class4,121.0,24.1,114.6,14232.31,15757.66,15645.65,历史原始实测能耗,1525.35,extrapolated_adjacent,class3,class3,0,104,generated,energy_first,230.3
院士路-盎孟港,class4,96.0,24.1,90.4,14443.75,20528.78,20335.55,历史原始实测能耗,6085.03,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,223.5
盎孟港-三官堂,class2,132.0,24.1,131.3,17812.24,19479.85,19119.55,历史原始实测能耗,1667.61,real,class2,class2,52,52,strong,energy_first,218.2
三官堂-兴庄路,class3,104.0,24.1,98.25,10546.24,11524.24,11392.57,历史原始实测能耗,978.0,real,class3,class3,58,58,strong,energy_first,216.44
兴庄路-兴海南路,class4,96.0,24.1,87.85,9518.66,14690.72,14574.63,历史原始实测能耗,5172.06,extrapolated_adjacent,class3,class3,0,72,generated,energy_first,215.74
兴海南路-梅堰,class4,86.0,24.1,81.45,9599.35,13205.71,13202.82,历史原始实测能耗,3606.36,extrapolated_adjacent,class3,class3,0,73,generated,energy_first,215.54
梅堰-永茂路,class4,329.0,24.1,314.05,26433.13,29851.52,29934.89,历史原始实测能耗,3418.39,real,class4,class4,26,26,strong,energy_first,215.54
永茂路-镇海大道,class4,156.0,24.1,142.75,15613.83,17821.92,17529.92,历史原始实测能耗,2208.09,real,class4,class4,1,1,weak,energy_first,215.44
镇海大道-骆驼桥,class4,128.0,0.0,117.15,17280.37,20591.82,20151.03,历史原始实测能耗,3311.45,real,class4,class4,1,1,weak,energy_first,215.44
--- 总计 ---,节能率: 17.77%,3112.0,602.5000000000001,3714.55,375614.21,456776.3,451442.38,历史原始实测能耗,81162.09,,,,,,,energy_first,
