station_pair,selected_class,target_time(s),energy(Wh)
布政-张家潭,Class1,107.0,15516.789590892822
张家潭-同德路,Class1,141.0,17923.702576503594
同德路-石碶,Class2,104.0,13308.67124006413
石碶-雅渡,Class5,90.0,6662.939014827982
雅渡-庙堰,Class1,123.0,21341.478300522205
庙堰-钟公庙,Class1,89.0,13339.190338882336
钟公庙-鄞州区政府,Class4,95.0,6695.5399470964685
鄞州区政府-钱湖南路,Class2,128.0,17033.826039993965
钱湖南路-南高教园区,Class5,111.0,8843.871097770318
南高教园区-下应路,Class1,105.0,19414.13203680034
下应路-大洋江,Class2,101.0,12178.899702000654
大洋江-泗港,Class3,92.0,10154.77249289186
泗港-曹隘,Class1,122.0,19204.23025041569
曹隘-柳隘,Class1,101.0,16348.415162667075
柳隘-海晏北路,Class3,92.0,10375.799745306918
海晏北路-民安东路,Class2,83.0,13485.94998344784
民安东路-会展中心,Class4,83.0,5015.243315742495
会展中心-院士路,Class1,107.0,15079.949919917712
院士路-盎孟港,Class2,88.0,15804.263717111888
盎孟港-三官堂,Class1,126.0,17981.72106725759
三官堂-兴庄路,Class1,94.0,12168.594409079944
兴庄路-兴海南路,Class5,100.0,6369.516843282454
兴海南路-梅堰,Class3,82.0,10170.276477738971
梅堰-永茂路,Class1,284.0,25443.04276761094
永茂路-镇海大道,Class1,135.0,16296.414883212132
镇海大道-骆驼桥,Class4,128.0,14273.393643036345
