station_pair,class_name,status,reason,parent_ref,target_time_s,sim_time_s,peak_speed_kmh,total_dist_m,curve_csv
张家潭-同德路,class1,generated,最终生成曲线后验检查通过，峰值 73.030837 km/h,class3,141.0,141.0,73.0308,2053.6237,D:\energy_conservation\output\ato_generated_results_new_v3\张家潭-同德路\class1_generated_curve.csv
张家潭-同德路,class2,generated,最终生成曲线后验检查通过，峰值 65.697315 km/h,class3,148.0,148.0,65.6973,2053.6237,D:\energy_conservation\output\ato_generated_results_new_v3\张家潭-同德路\class2_generated_curve.csv
张家潭-同德路,class3,generated,最终生成曲线后验检查通过，峰值 63.869555 km/h,class3,151.0,151.0,63.8696,2053.6237,D:\energy_conservation\output\ato_generated_results_new_v3\张家潭-同德路\class3_generated_curve.csv
张家潭-同德路,class4,generated,最终生成曲线后验检查通过，峰值 58.515757 km/h,class3,159.0,159.0,58.5158,2053.6237,D:\energy_conservation\output\ato_generated_results_new_v3\张家潭-同德路\class4_generated_curve.csv
张家潭-同德路,class5,generated,最终生成曲线后验检查通过，峰值 55.013516 km/h,class3,166.0,165.95,55.0135,2054.4594,D:\energy_conservation\output\ato_generated_results_new_v3\张家潭-同德路\class5_generated_curve.csv
