站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,30.0,30.0,0.0,116.8,12947.95,14554.71,14340.25,历史原始实测能耗,1606.76,real,class3,class3,80,80,strong,allow_extrapolated,215.24,UP066_20240715_171505_R3551,65.0,3551.0
张家潭-同德路,class1,141.0,29.0,29.0,0.0,150.8,18365.43,17999.97,17524.3,历史原始实测能耗,-365.46,extrapolated_adjacent,class2,class2,0,8,generated,allow_extrapolated,215.34,UP066_20240715_171505_R3551,65.0,3552.0
同德路-石碶,class3,109.0,34.0,34.0,0.0,105.8,12898.41,15225.64,14811.46,历史原始实测能耗,2327.23,real,class3,class3,60,60,strong,allow_extrapolated,215.34,UP066_20240715_171505_R3551,65.0,3553.0
石碶-雅渡,class2,80.0,30.0,30.0,0.0,79.0,11115.24,12056.34,11668.35,历史原始实测能耗,941.1,real,class2,class2,38,38,strong,allow_extrapolated,215.74,UP066_20240715_171505_R3551,65.0,3554.0
雅渡-庙堰,class3,131.9,30.0,30.0,0.0,132.3,19923.32,21612.44,20808.0,历史原始实测能耗,1689.12,real,class3,class3,67,67,strong,allow_extrapolated,216.34,UP066_20240715_171505_R3551,65.0,3555.0
庙堰-钟公庙,class3,96.0,30.0,30.0,0.0,94.75,12716.83,16264.52,16023.3,历史原始实测能耗,3547.69,real,class3,class3,84,84,strong,allow_extrapolated,216.44,UP066_20240715_171505_R3551,65.0,3556.0
钟公庙-鄞州区政府,class3,90.0,41.0,41.0,0.0,88.9,10202.26,13630.7,13252.32,历史原始实测能耗,3428.44,real,class3,class3,108,108,strong,allow_extrapolated,217.42,UP066_20240715_171505_R3551,65.0,3557.0
鄞州区政府-钱湖南路,class2,128.0,29.0,29.0,0.0,127.3,18989.7,19037.27,18529.76,历史原始实测能耗,47.57,real,class2,class2,45,45,strong,allow_extrapolated,219.32,UP066_20240715_171505_R3551,65.0,3558.0
钱湖南路-南高教园区,class3,100.0,35.0,35.0,0.0,97.55,14331.74,16095.63,16363.73,历史原始实测能耗,1763.89,real,class3,class3,63,63,strong,allow_extrapolated,219.4,UP066_20240715_171505_R3551,65.0,3559.0
南高教园区-下应路,class2,110.0,29.0,29.0,0.0,110.9,21877.24,21342.57,21654.48,历史原始实测能耗,-534.67,real,class2,class2,44,44,strong,allow_extrapolated,219.5,UP066_20240715_171505_R3551,65.0,3560.0
