站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,116.3,116.3,30.0,146.3,1429.83,1428.0,44.26,65.52,44.24,2327,64.02,1033,64.51,65.24,13153.35,215.24,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,150.2,150.2,30.0,180.2,2020.62,2017.0,48.43,65.41,48.41,3005,63.52,1720,64.39,65.08,17411.96,215.24,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,111.3,111.3,30.0,141.3,1330.33,1332.0,43.03,64.42,43.01,2227,63.63,958,64.23,64.36,11880.66,215.34,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,83.45,83.45,30.0,113.45,827.25,827.0,35.69,70.26,35.67,1670,68.2,159,68.35,70.19,13178.29,216.44,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,130.9,130.9,30.0,160.9,1861.0,1860.0,51.18,76.91,51.16,2619,75.23,1116,75.69,76.65,21344.77,216.34,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,95.3,95.3,30.0,125.3,1087.98,1086.0,41.1,71.06,41.08,1907,68.31,564,68.63,70.89,13772.46,216.32,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,90.3,90.3,30.0,120.3,984.97,984.0,39.27,67.34,39.25,1807,66.54,526,67.13,67.29,10293.17,216.14,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,132.4,132.4,30.0,162.4,1811.69,1811.0,49.26,70.93,49.24,2649,69.92,1293,70.51,70.78,17612.23,216.14,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,100.1,100.1,30.0,130.1,1168.93,1155.0,42.04,70.16,42.02,2003,66.9,651,67.21,69.83,14152.22,216.02,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,115.15,115.15,30.0,145.15,1452.87,1452.0,45.42,70.04,45.4,2304,68.93,947,69.69,69.9,18949.08,216.14,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
下应路-大洋江,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,105.1,105.1,30.0,135.1,1213.91,1214.0,41.58,63.72,41.56,2103,62.87,844,63.58,63.67,11138.46,216.24,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx
大洋江-泗港,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,92.7,92.7,30.0,122.7,958.54,957.0,37.22,57.78,37.2,1855,56.89,718,57.56,57.74,10057.24,215.84,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx
泗港-曹隘,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,134.4,134.4,30.0,164.4,1799.84,1798.0,48.21,77.76,48.19,2689,77.01,832,77.54,77.6,22707.03,215.94,4,1,1,data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx
曹隘-柳隘,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,106.45,106.45,30.0,136.45,1307.65,1307.0,44.22,75.7,44.2,2130,73.49,463,74.68,75.38,20761.08,215.54,2,1,1,data\data_processed_step2_v3_all_curve_quality\results_曹隘-柳隘.xlsx
柳隘-海晏北路,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,91.55,91.55,30.0,121.55,981.26,980.0,38.59,66.6,38.56,1832,65.6,548,66.2,66.46,12094.55,215.54,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_柳隘-海晏北路.xlsx
海晏北路-民安东路,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,84.0,84.0,30.0,114.0,865.73,865.0,37.1,73.43,37.08,1681,71.52,212,72.68,73.32,15539.43,216.04,2,1,1,data\data_processed_step2_v3_all_curve_quality\results_海晏北路-民安东路.xlsx
民安东路-会展中心,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,77.3,77.3,30.0,107.3,725.68,724.0,33.8,67.93,33.77,1547,66.37,203,67.47,67.87,12235.74,216.44,2,1,1,data\data_processed_step2_v3_all_curve_quality\results_民安东路-会展中心.xlsx
会展中心-院士路,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,114.95,114.95,30.0,144.95,1552.1,1562.0,48.61,77.58,48.59,2300,76.97,824,77.47,77.53,14957.21,216.24,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_会展中心-院士路.xlsx
院士路-盎孟港,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,89.7,89.7,30.0,119.7,994.07,994.0,39.9,77.51,39.87,1795,75.47,239,76.89,77.45,18644.4,215.94,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_院士路-盎孟港.xlsx
盎孟港-三官堂,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,136.8,136.8,30.0,166.8,1876.88,1877.0,49.39,71.59,49.37,2737,70.06,1351,70.52,71.34,18658.77,215.94,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_盎孟港-三官堂.xlsx
三官堂-兴庄路,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,102.8,102.8,30.0,132.8,1080.17,1081.0,37.83,54.92,37.81,2057,54.21,936,54.73,54.86,10654.18,215.94,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_三官堂-兴庄路.xlsx
兴庄路-兴海南路,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,91.3,91.3,30.0,121.3,958.86,958.0,37.81,63.09,37.79,1827,60.81,607,61.24,62.75,11805.99,215.54,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_兴庄路-兴海南路.xlsx
兴海南路-梅堰,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,82.1,82.1,30.0,112.1,834.05,833.0,36.57,72.79,36.55,1643,71.47,264,72.29,72.64,12817.9,215.54,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_兴海南路-梅堰.xlsx
梅堰-永茂路,8,7,07/0270207,70207,5014,UP,工作日平峰,0.0,329.25,329.25,30.0,359.25,3675.1,3676.0,40.18,57.65,40.18,6586,55.53,2070,55.86,56.05,26139.14,215.54,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_梅堰-永茂路.xlsx
永茂路-镇海大道,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,142.45,142.45,30.0,172.45,2132.48,2131.0,53.89,77.63,53.87,2850,77.2,1331,77.53,77.57,18061.41,215.44,2,1,1,data\data_processed_step2_v3_all_curve_quality\results_永茂路-镇海大道.xlsx
镇海大道-骆驼桥,8,7,07/0170107,70107,5014,UP,工作日低峰,0.0,116.95,116.95,0.0,116.95,1596.76,1593.0,49.15,77.76,49.13,2340,77.22,862,77.65,77.73,20539.68,215.34,2,1,1,data\data_processed_step2_v3_all_curve_quality\results_镇海大道-骆驼桥.xlsx
--- 总计 ---,,,,,,,,,,3023.2,750.0,3773.2,36528.55,36502.0,43.5,77.76,,,,,,,408560.4,...,,,,
