section,status,sample_count,train_count,test_count,feature_count,best_epoch,best_val_loss,test_mse_wh2,test_rmse_wh,test_mae_wh,test_bias_wh,test_mape_percent,test_smape_percent,test_r2,output_dir,message
布政-张家潭,success,292499,233999,58500,8,59,0.2430381327867508,0.7378793604518461,0.8589990456641067,0.43495391922095444,0.005937235373099107,54.21335823340294,67.76944232208812,0.9908913561277842,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭,
张家潭-同德路,success,377196,301756,75440,8,80,0.20604324340820312,0.6071952748678667,0.7792273576228357,0.3968779807452137,0.0038142909314975,38.937575921100645,51.980769910469846,0.9907327589979255,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\张家潭-同德路,
同德路-石碶,success,271358,217086,54272,8,80,0.21787147223949432,0.6910704246560169,0.831306456522513,0.3941438370251469,0.032841277748092444,43.8075802489633,49.237135888351716,0.9919340790551905,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\同德路-石碶,
石碶-雅渡,success,203633,162906,40727,8,80,0.16375939548015594,0.5716969069613719,0.7561064124588363,0.3020567918028609,0.01953633650326621,38.279487956251266,49.333800184422095,0.9957892752241997,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡,
雅渡-庙堰,success,330277,264221,66056,8,78,0.274688184261322,0.9856315584754437,0.992789785642179,0.4421587990621187,0.0072151952277981725,37.47135329523828,57.06749690684384,0.9916517011126671,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰,
