Segment_ID,等级,时长
0,class2,112.4
1,class2,112.9
2,class2,112.65
3,class2,112.55
4,class2,112.85
5,class2,112.85
6,class2,112.75
7,class2,112.3
8,class2,112.1
9,class2,113.05
10,class2,113.15
11,class2,112.55
12,class2,112.6
13,class3,114.35
14,class2,110.05
15,class2,113.2
16,class2,112.95
17,class2,113.1
18,class2,112.95
19,class2,112.55
20,class2,113.3
21,class2,113.25
22,class2,112.7
23,class2,112.5
24,class2,112.9
25,class2,112.7
26,class3,114.7
27,class2,113.1
28,class2,112.9
29,class3,114.45
30,class3,113.7
31,class3,113.75
32,class2,112.95
33,class2,113.05
34,class2,109.75
