站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,102,101,07/2772801,72801,5012,UP,双休日平峰,0.0,118.15,118.15,30.0,148.15,1451.43,1428.0,44.22,65.09,44.21,2364,63.6,1112,63.95,64.72,13568.99,215.24,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,102,101,07/2772801,72801,5012,UP,双休日平峰,0.0,151.75,151.75,30.0,181.75,2054.11,2017.0,48.73,64.63,48.71,3036,63.74,1803,64.41,64.51,17732.2,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,102,101,07/2772801,72801,5012,UP,双休日平峰,0.0,110.75,110.75,30.0,140.75,1352.79,1332.0,43.97,70.22,43.95,2216,68.91,854,69.27,70.02,14383.11,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,102,101,07/2772801,72801,5012,UP,双休日平峰,0.0,82.1,82.1,30.0,112.1,840.2,827.0,36.84,75.44,36.82,1643,73.47,163,74.11,75.35,12926.75,215.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,102,101,07/2772801,72801,5012,UP,双休日平峰,0.0,133.2,133.2,30.0,163.2,1889.92,1860.0,51.08,74.49,51.06,2665,73.36,1241,73.81,74.34,20207.85,215.74,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,102,101,07/2772801,72801,5012,UP,双休日平峰,0.0,96.45,96.45,30.0,126.45,1104.75,1086.0,41.23,69.68,41.21,1930,66.48,615,66.44,69.33,13507.37,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,102,101,07/2772801,72801,5012,UP,双休日平峰,0.0,90.6,90.6,30.0,120.6,999.53,984.0,39.72,68.65,39.69,1813,67.66,515,68.1,68.56,10419.45,215.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,102,101,07/2772801,72801,5012,UP,双休日平峰,0.0,134.1,134.1,30.0,164.1,1840.2,1811.0,49.4,70.02,49.38,2683,69.42,1329,69.88,69.96,16036.34,217.12,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,102,101,07/2772801,72801,5012,UP,双休日平峰,0.0,101.35,101.35,30.0,131.35,1188.22,1155.0,42.21,70.35,42.19,2028,67.26,671,67.7,69.96,13971.07,217.52,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,102,101,07/2772801,72801,5012,UP,双休日低峰,0.0,114.0,114.0,30.0,144.0,1474.59,1452.0,46.57,71.76,46.55,2281,70.98,907,71.54,71.69,18684.23,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
下应路-大洋江,102,101,07/2772801,72801,5012,UP,双休日低峰,0.0,106.9,106.9,30.0,136.9,1233.24,1214.0,41.53,62.89,41.51,2139,62.36,889,62.69,62.81,11488.56,215.74,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx
大洋江-泗港,102,101,07/2772801,72801,5012,UP,双休日低峰,0.0,92.95,92.95,30.0,122.95,973.18,957.0,37.69,61.41,37.67,1860,59.68,642,60.28,61.13,10705.03,215.74,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx
