站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,60,59,07/1071059,71059,5012,UP,工作日低峰,0.0,119.45,119.45,30.0,149.45,1450.42,1428.0,43.71,71.13,43.69,2390,68.48,177,67.35,70.67,13202.38,215.24,4,1,1,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,60,59,07/1071059,71059,5012,UP,工作日低峰,0.0,158.4,158.4,30.0,188.4,2053.01,2017.0,46.66,61.97,46.64,3169,60.66,1710,61.43,61.84,13988.25,215.24,4,1,1,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,60,59,07/1071059,71059,5012,UP,工作日低峰,0.0,108.55,108.55,30.0,138.55,1351.97,1332.0,44.84,72.21,44.82,2172,70.65,727,71.47,72.04,11918.69,215.24,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,60,59,07/1071059,71059,5012,UP,工作日低峰,0.0,87.55,87.55,30.0,117.55,839.85,827.0,34.53,71.07,34.51,1752,69.43,243,70.52,71.0,10784.32,215.24,4,1,1,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,60,59,07/1071059,71059,5012,UP,工作日低峰,0.0,135.6,135.6,30.0,165.6,1889.64,1860.0,50.17,72.84,50.15,2713,70.24,1132,71.72,72.79,16666.72,215.24,4,1,1,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,60,59,07/1071059,71059,5012,UP,工作日低峰,0.0,96.1,96.1,30.0,126.1,1104.2,1086.0,41.36,71.46,41.34,1923,70.06,448,71.33,71.42,10195.68,215.24,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,60,59,07/1071059,71059,5012,UP,工作日低峰,0.0,91.55,91.55,30.0,121.55,999.81,984.0,39.32,71.26,39.29,1832,69.98,376,71.13,71.22,10458.26,215.24,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,60,59,07/1071059,71059,5012,UP,工作日低峰,0.0,137.5,137.5,30.0,167.5,1838.98,1811.0,48.15,72.74,48.13,2751,70.77,1209,71.96,72.63,15127.34,215.94,4,1,1,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,60,59,07/1071059,71059,5012,UP,工作日低峰,0.0,100.7,100.7,30.0,130.7,1187.1,1155.0,42.44,72.34,42.42,2015,70.13,529,71.82,72.28,11663.51,216.04,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,60,59,07/1071059,71059,5012,UP,工作日低峰,0.0,115.9,115.9,30.0,145.9,1473.93,1452.0,45.78,72.23,45.76,2319,69.69,811,71.82,72.15,16282.24,215.94,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
