Segment_ID,等级,时长
0,class1,95.85
1,class2,101.5
2,class2,101.45
3,class3,101.55
4,class1,95.9
5,class1,95.75
6,class2,101.4
7,class1,95.9
8,class1,95.7
9,class3,102.45
10,class2,101.4
11,class2,101.35
12,class1,95.7
13,class3,102.5
14,class1,93.15
15,class1,95.85
16,class1,96.25
17,class2,99.85
18,class2,100.85
19,class3,101.6
20,class1,95.9
21,class3,101.7
22,class2,100.65
23,class2,101.4
24,class1,95.9
25,class2,100.55
26,class2,98.8
27,class2,100.1
28,class3,101.9
29,class2,100.75
30,class3,101.65
31,class3,102.55
32,class2,100.8
33,class2,100.8
34,class1,96.0
