section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,cruise_min_speed_ratio,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
1,布政-张家潭,22,23,07/0370322,1,2247,mps,45.71,68.87,196,0.92,71.3,70.86,68.64,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
2,张家潭-同德路,22,23,07/0370322,1,2998,mps,48.5,61.65,1796,0.92,64.74,63.97,62.72,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
3,同德路-石碶,22,23,07/0370322,1,2070,mps,46.33,72.54,744,0.92,74.05,73.99,73.9,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
4,石碶-雅渡,22,23,07/0370322,1,1482,mps,40.19,70.76,284,0.92,72.09,72.05,71.82,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
5,雅渡-庙堰,22,23,07/0370322,1,2586,mps,51.81,71.94,1145,0.92,73.82,73.66,73.18,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
6,庙堰-钟公庙,22,23,07/0370322,1,1846,mps,42.43,71.63,419,0.92,73.6,73.51,72.81,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
7,钟公庙-鄞州区政府,22,23,07/0370322,1,1710,mps,41.46,71.33,429,0.92,72.5,72.44,72.31,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
8,鄞州区政府-钱湖南路,22,23,07/0370322,1,2493,mps,52.33,73.09,1193,0.92,74.41,74.23,74.1,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx,
9,钱湖南路-南高教园区,22,23,07/0370322,1,1900,mps,44.3,72.08,554,0.92,74.62,74.46,74.27,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx,
10,南高教园区-下应路,22,23,07/0370322,1,2141,mps,48.82,72.02,845,0.92,73.36,73.25,73.1,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx,
11,下应路-大洋江,22,23,07/0370322,1,1950,mps,44.82,66.3,763,0.92,68.33,68.06,67.22,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx,
12,大洋江-泗港,22,23,07/0370322,1,1660,mps,41.55,72.11,365,0.92,73.98,73.93,73.64,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx,
13,泗港-曹隘,22,23,07/0370322,1,2517,mps,51.46,72.22,913,0.92,74.8,74.72,73.74,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx,
14,曹隘-柳隘,22,23,07/0370322,1,2151,mps,43.81,71.52,431,0.92,74.16,74.1,73.49,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_曹隘-柳隘.xlsx,
15,柳隘-海晏北路,22,23,07/0370322,1,1705,mps,41.43,71.28,418,0.92,72.84,72.77,72.52,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_柳隘-海晏北路.xlsx,
16,海晏北路-民安东路,22,23,07/0370322,1,1586,mps,39.27,69.06,293,0.92,71.51,71.33,70.32,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_海晏北路-民安东路.xlsx,
17,民安东路-会展中心,22,23,07/0370322,1,1460,mps,35.77,64.61,199,0.92,66.73,66.56,65.67,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_民安东路-会展中心.xlsx,
18,会展中心-院士路,22,23,07/0370322,1,2252,mps,49.61,71.38,991,0.92,73.77,73.64,73.26,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_会展中心-院士路.xlsx,
19,院士路-盎孟港,22,23,07/0370322,1,1732,mps,41.37,70.26,378,0.92,72.31,72.13,71.39,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_院士路-盎孟港.xlsx,
20,盎孟港-三官堂,22,23,07/0370322,1,2546,mps,53.1,72.29,1268,0.92,74.36,74.26,73.49,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_盎孟港-三官堂.xlsx,
21,三官堂-兴庄路,22,23,07/0370322,1,1870,mps,41.61,60.54,674,0.92,62.53,62.46,62.28,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_三官堂-兴庄路.xlsx,
22,兴庄路-兴海南路,22,23,07/0370322,1,1713,mps,40.32,64.39,485,0.92,66.89,66.6,65.65,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_兴庄路-兴海南路.xlsx,
23,兴海南路-梅堰,22,23,07/0370322,1,1546,mps,38.79,71.34,232,0.92,73.33,73.26,72.8,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_兴海南路-梅堰.xlsx,
24,梅堰-永茂路,22,23,07/0570522,0,6606,mps,40.06,55.71,2063,0.92,57.71,56.18,55.9,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_梅堰-永茂路.xlsx,
25,永茂路-镇海大道,22,23,07/0370322,1,2810,mps,54.65,73.7,1486,0.92,74.82,74.76,74.64,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_永茂路-镇海大道.xlsx,
26,镇海大道-骆驼桥,22,23,07/0370322,1,2340,mps,49.13,77.18,863,0.92,77.7,77.66,77.6,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_镇海大道-骆驼桥.xlsx,
