time,velocity,acceleration,distance,cumulative_energy
0.0,0.0,0.55,0.0,4.453899
0.05,0.027500000000000004,0.55,0.0013750000000000004,8.92038
0.1,0.05500000000000001,0.55,0.004125000000000001,13.399587
0.15000000000000002,0.08250000000000002,0.55,0.008250000000000002,17.891705
0.2,0.11000000000000001,0.55,0.013750000000000004,22.396954
0.25,0.1375,0.55,0.020625000000000004,26.915634
0.30000000000000004,0.16500000000000004,0.55,0.028875000000000005,31.448195
0.35000000000000003,0.19250000000000003,0.55,0.038500000000000006,35.99524
0.4,0.22000000000000003,0.55,0.04950000000000001,40.55753
0.45,0.24750000000000003,0.55,0.06187500000000001,45.13566
0.5,0.275,0.55,0.07562500000000001,49.73043
0.55,0.30250000000000005,0.55,0.09075000000000001,54.34386
0.6000000000000001,0.33000000000000007,0.55,0.10725000000000001,58.97743
0.65,0.35750000000000004,0.55,0.12512500000000001,63.632256
0.7000000000000001,0.38500000000000006,0.55,0.14437500000000003,68.308876
0.75,0.41250000000000003,0.55,0.16500000000000004,73.00763
0.8,0.44000000000000006,0.55,0.18700000000000006,77.72866
0.8500000000000001,0.4675000000000001,0.55,0.21037500000000006,82.47215
0.9,0.49500000000000005,0.55,0.23512500000000006,87.23835
0.9500000000000001,0.5225000000000001,0.55,0.26125000000000004,92.02745
1.0,0.55,0.55,0.28875000000000006,96.83966
1.05,0.5775000000000001,0.55,0.31762500000000005,101.67441
1.1,0.6050000000000001,0.55,0.34787500000000005,106.52942
1.1500000000000001,0.6325000000000002,0.55,0.37950000000000006,111.40468
1.2000000000000002,0.6600000000000001,0.55,0.4125000000000001,116.30029
1.25,0.6875,0.55,0.4468750000000001,121.21656
1.3,0.7150000000000001,0.55,0.4826250000000001,126.15379
1.35,0.7425000000000002,0.55,0.51975,131.1122
1.4000000000000001,0.7700000000000001,0.55,0.55825,136.09198
1.4500000000000002,0.7975000000000002,0.55,0.598125,141.09325
1.5,0.8250000000000001,0.55,0.639375,146.11615
1.55,0.8525000000000001,0.55,0.682,151.1622
1.6,0.8800000000000001,0.55,0.7260000000000001,156.2316
1.6500000000000001,0.9075000000000002,0.55,0.7713750000000001,161.32445
1.7000000000000002,0.9350000000000002,0.55,0.8181250000000002,166.4409
1.75,0.9625000000000001,0.55,0.8662500000000002,171.58109
1.8,0.9900000000000001,0.55,0.9157500000000002,176.7448
1.85,1.0175,0.55,0.9666250000000002,181.93173
1.9000000000000001,1.0450000000000002,0.55,1.0188750000000002,187.14098
1.9500000000000002,1.0725000000000002,0.55,1.0725000000000002,192.3723
2.0,1.1,0.55,1.1275000000000002,197.62566
2.0500000000000003,1.1275000000000002,0.55,1.1838750000000002,202.90106
2.1,1.1550000000000002,0.55,1.2416250000000002,208.19862
2.15,1.1825,0.55,1.3007500000000003,213.51842
2.2,1.2100000000000002,0.55,1.3612500000000003,218.86227
2.25,1.2375,0.55,1.4231250000000002,224.23149
2.3000000000000003,1.2650000000000003,0.55,1.4863750000000002,229.62502
2.35,1.2925000000000002,0.55,1.5510000000000002,235.04169
2.4000000000000004,1.3200000000000003,0.55,1.6170000000000002,240.48163
2.45,1.3475000000000001,0.55,1.6843750000000002,245.94492
2.5,1.375,0.55,1.7531250000000003,251.43134
2.5500000000000003,1.4025000000000003,0.55,1.8232500000000003,256.9408
2.6,1.4300000000000002,0.55,1.8947500000000002,262.47324
2.6500000000000004,1.4575000000000002,0.55,1.9676250000000002,268.02875
2.7,1.4850000000000003,0.55,2.041875,273.6132
2.75,1.5125000000000002,0.55,2.1175,279.2282
2.8000000000000003,1.5400000000000003,0.55,2.1945,284.87402
2.85,1.5675000000000001,0.55,2.272875,290.55063
2.9000000000000004,1.5950000000000004,0.55,2.352625,296.25818
2.95,1.6225000000000003,0.55,2.4337500000000003,301.9968
3.0,1.6500000000000001,0.55,2.5162500000000003,307.76657
3.0500000000000003,1.6775000000000002,0.55,2.6001250000000002,313.56766
3.1,1.7050000000000003,0.55,2.685375,319.40024
3.1500000000000004,1.7325000000000004,0.55,2.7720000000000002,325.26437
3.2,1.7600000000000002,0.55,2.8600000000000003,331.1602
3.25,1.7875,0.55,2.9493750000000003,337.0879
3.3000000000000003,1.8150000000000004,0.55,3.040125,343.04764
3.35,1.8425000000000002,0.55,3.13225,349.03958
3.4000000000000004,1.8700000000000003,0.55,3.22575,355.0639
3.45,1.8975000000000002,0.55,3.320625,361.12082
3.5,1.9250000000000003,0.55,3.416875,367.21045
3.5500000000000003,1.9525000000000003,0.55,3.5145,373.33286
3.6,1.9800000000000002,0.55,3.6135,379.4882
3.6500000000000004,2.0075000000000003,0.55,3.7138750000000003,385.6767
3.7,2.035,0.55,3.8156250000000003,391.89853
3.75,2.0625,0.55,3.91875,398.15387
3.8000000000000003,2.0900000000000003,0.55,4.02325,404.44278
3.85,2.1175,0.55,4.129125,410.76532
3.9000000000000004,2.1450000000000005,0.55,4.236375,417.12173
3.95,2.1725000000000003,0.55,4.345,423.51184
4.0,2.2,0.55,4.455,429.93564
4.05,2.2275,0.55,4.566375,436.39328
4.1000000000000005,2.2550000000000003,0.55,4.679125,442.88477
4.15,2.2825,0.55,4.79325,449.41025
4.2,2.3100000000000005,0.55,4.9087499999999995,455.96985
4.25,2.3375000000000004,0.55,5.025625,462.5636
4.3,2.365,0.55,5.1438749999999995,469.19165
4.3500000000000005,2.3925000000000005,0.55,5.2635,475.85364
4.4,2.4200000000000004,0.55,5.3845,482.54926
4.45,2.4475000000000002,0.55,5.506875,489.27872
4.5,2.475,0.55,5.630625,496.043
4.55,2.5025,0.55,5.75575,502.84314
