站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,117.7,117.7,30.0,147.7,1451.5,1428.0,44.4,65.09,44.38,2355,63.48,1104,63.9,64.79,13207.81,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,150.6,150.6,30.0,180.6,2053.5,2017.0,49.09,65.8,49.07,3013,64.48,1766,65.11,65.5,18204.7,215.44,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,110.85,110.85,30.0,140.85,1352.35,1332.0,43.92,68.38,43.9,2218,67.5,892,67.87,68.18,13947.41,215.74,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,84.3,84.3,30.0,114.3,840.77,827.0,35.9,70.86,35.88,1687,68.24,173,68.44,70.71,13161.69,216.94,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,131.7,131.7,30.0,161.7,1889.54,1860.0,51.65,76.07,51.63,2635,74.75,1223,75.2,75.86,21104.14,217.72,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,96.85,96.85,30.0,126.85,1104.02,1086.0,41.04,69.84,41.02,1938,66.74,597,67.06,69.6,12939.92,218.32,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,91.5,91.5,30.0,121.5,1000.29,984.0,39.36,68.73,39.33,1831,67.38,516,67.84,68.65,10572.31,219.02,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,133.2,133.2,30.0,163.2,1839.68,1811.0,49.72,71.41,49.7,2665,70.74,1295,71.06,71.22,18040.56,218.62,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,100.3,100.3,30.0,130.3,1187.35,1155.0,42.62,70.3,42.6,2007,69.37,659,70.03,70.23,13668.98,218.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,98,97,07/2772797,72797,5012,UP,双休日低峰,0.0,114.8,114.8,30.0,144.8,1474.9,1452.0,46.25,72.16,46.23,2297,71.28,909,71.81,72.04,19461.02,216.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
下应路-大洋江,98,97,07/2772797,72797,5012,UP,双休日低峰,0.0,107.0,107.0,30.0,137.0,1233.16,1214.0,41.49,62.78,41.47,2141,62.3,894,62.69,62.74,11439.47,216.44,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx
大洋江-泗港,98,97,07/2772797,72797,5012,UP,双休日低峰,0.0,92.75,92.75,30.0,122.75,973.05,957.0,37.77,60.73,37.75,1856,59.71,666,60.41,60.61,10914.02,216.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx
泗港-曹隘,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,135.55,135.55,30.0,165.55,1827.86,1798.0,48.55,78.63,48.53,2712,77.74,848,78.3,78.41,23496.54,218.04,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx
曹隘-柳隘,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,106.6,106.6,30.0,136.6,1328.13,1307.0,44.85,75.87,44.83,2133,74.06,495,75.34,75.65,20686.81,218.04,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_曹隘-柳隘.xlsx
柳隘-海晏北路,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,90.65,90.65,30.0,120.65,996.34,980.0,39.57,67.36,39.55,1814,66.41,530,67.06,67.28,11286.37,218.62,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_柳隘-海晏北路.xlsx
海晏北路-民安东路,98,97,07/2772797,72797,5012,UP,双休日平峰,0.0,84.15,84.15,30.0,114.15,878.72,865.0,37.59,73.65,37.57,1684,72.15,239,73.46,73.6,15628.06,217.6,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_海晏北路-民安东路.xlsx
民安东路-会展中心,98,97,07/2772797,72797,5012,UP,双休日低峰,0.0,76.75,76.75,30.0,106.75,736.69,724.0,34.55,68.34,34.53,1536,66.82,211,67.95,68.27,11957.26,216.14,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_民安东路-会展中心.xlsx
会展中心-院士路,98,97,07/2772797,72797,5012,UP,双休日低峰,0.0,115.05,115.05,30.0,145.05,1576.81,1562.0,49.34,78.27,49.32,2302,77.56,841,78.12,78.17,14617.67,216.14,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_会展中心-院士路.xlsx
院士路-盎孟港,98,97,07/2772797,72797,5012,UP,双休日低峰,0.0,92.65,92.65,30.0,122.65,1010.47,994.0,39.26,67.83,39.24,1854,66.78,527,67.54,67.73,16800.26,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_院士路-盎孟港.xlsx
盎孟港-三官堂,98,97,07/2772797,72797,5012,UP,双休日低峰,0.0,140.05,140.05,30.0,170.05,1906.6,1877.0,49.01,67.91,48.99,2802,66.96,1492,67.21,67.71,17245.74,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_盎孟港-三官堂.xlsx
