站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,118.85,118.85,30.0,148.85,1450.92,1428.0,43.95,65.53,43.93,2378,63.68,1121,64.18,65.16,14004.26,215.24,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,150.55,150.55,30.0,180.55,2053.63,2017.0,49.11,66.36,49.09,3012,64.51,1767,65.47,66.06,18080.59,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,110.4,110.4,30.0,140.4,1352.81,1332.0,44.11,66.96,44.09,2209,65.93,899,66.5,66.84,11912.51,215.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,83.45,83.45,30.0,113.45,840.53,827.0,36.26,71.08,36.24,1670,68.93,146,68.7,70.96,13051.76,215.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,131.1,131.1,30.0,161.1,1889.2,1860.0,51.88,78.02,51.86,2623,76.22,1121,76.71,77.6,21079.58,215.44,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,95.55,95.55,30.0,125.55,1103.98,1086.0,41.59,71.2,41.57,1912,68.85,540,69.24,71.03,12543.11,215.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,91.9,91.9,30.0,121.9,999.11,984.0,39.14,67.79,39.12,1839,65.02,567,65.34,67.6,10222.35,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,132.1,132.1,30.0,162.1,1839.01,1811.0,50.12,71.59,50.1,2643,70.7,1296,71.24,71.35,16599.88,215.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,100.7,100.7,30.0,130.7,1186.91,1155.0,42.43,71.01,42.41,2015,67.65,662,68.04,70.7,13895.55,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,114.95,114.95,30.0,144.95,1473.81,1452.0,46.16,70.86,46.14,2300,69.86,892,70.48,70.75,17346.32,215.94,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
下应路-大洋江,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,108.75,108.75,30.0,138.75,1232.75,1214.0,40.81,61.36,40.79,2176,60.77,957,61.22,61.32,11829.29,215.84,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx
大洋江-泗港,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,90.3,90.3,30.0,120.3,972.72,957.0,38.78,66.55,38.76,1807,63.72,570,64.23,66.37,12173.5,215.44,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx
泗港-曹隘,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,135.1,135.1,30.0,165.1,1826.02,1798.0,48.66,78.96,48.64,2703,77.92,902,78.52,78.76,22647.71,215.64,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx
曹隘-柳隘,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,106.8,106.8,30.0,136.8,1326.87,1307.0,44.73,76.49,44.7,2137,74.41,484,75.66,76.18,20743.6,215.92,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_曹隘-柳隘.xlsx
柳隘-海晏北路,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,90.5,90.5,30.0,120.5,995.57,980.0,39.6,72.72,39.58,1811,69.39,465,69.75,72.31,13872.06,216.22,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_柳隘-海晏北路.xlsx
海晏北路-民安东路,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,83.9,83.9,30.0,113.9,877.97,865.0,37.67,74.17,37.65,1679,72.36,221,73.67,74.11,15530.12,216.64,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_海晏北路-民安东路.xlsx
民安东路-会展中心,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,77.0,77.0,30.0,107.0,736.32,724.0,34.43,68.65,34.4,1541,67.06,209,68.2,68.58,12037.12,216.12,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_民安东路-会展中心.xlsx
会展中心-院士路,44,43,07/0870843,70843,5012,UP,工作日平峰,0.0,115.0,115.0,30.0,145.0,1576.11,1562.0,49.34,78.85,49.32,2301,78.12,834,78.69,78.78,15095.52,215.92,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_会展中心-院士路.xlsx
