section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,cruise_min_speed_ratio,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
1,布政-张家潭,43,44,07/0870843,0,2378,mps,43.93,63.68,1121,0.92,65.53,65.16,64.18,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
2,张家潭-同德路,43,44,07/0870843,0,3012,mps,49.09,64.51,1767,0.92,66.36,66.06,65.47,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
3,同德路-石碶,43,44,07/0870843,0,2209,mps,44.09,65.93,899,0.92,66.96,66.84,66.5,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
4,石碶-雅渡,43,44,07/0870843,0,1670,mps,36.24,68.93,146,0.92,71.08,70.96,68.7,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
5,雅渡-庙堰,43,44,07/0870843,0,2623,mps,51.86,76.22,1121,0.92,78.02,77.6,76.71,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
6,庙堰-钟公庙,43,44,07/0870843,0,1912,mps,41.57,68.85,540,0.92,71.2,71.03,69.24,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
7,钟公庙-鄞州区政府,43,44,07/0870843,0,1839,mps,39.12,65.02,567,0.92,67.79,67.6,65.34,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
8,鄞州区政府-钱湖南路,43,44,07/0870843,0,2643,mps,50.1,70.7,1296,0.92,71.59,71.35,71.24,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx,
9,钱湖南路-南高教园区,43,44,07/0870843,0,2015,mps,42.41,67.65,662,0.92,71.01,70.7,68.04,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx,
10,南高教园区-下应路,43,44,07/0870843,0,2300,mps,46.14,69.86,892,0.92,70.86,70.75,70.48,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx,
11,下应路-大洋江,43,44,07/0870843,0,2176,mps,40.79,60.77,957,0.92,61.36,61.32,61.22,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx,
12,大洋江-泗港,43,44,07/0870843,0,1807,mps,38.76,63.72,570,0.92,66.55,66.37,64.23,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx,
13,泗港-曹隘,43,44,07/0870843,0,2703,mps,48.64,77.92,902,0.92,78.96,78.76,78.52,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx,
14,曹隘-柳隘,43,44,07/0870843,0,2137,mps,44.7,74.41,484,0.92,76.49,76.18,75.66,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_曹隘-柳隘.xlsx,
15,柳隘-海晏北路,43,44,07/0870843,0,1811,mps,39.58,69.39,465,0.92,72.72,72.31,69.75,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_柳隘-海晏北路.xlsx,
16,海晏北路-民安东路,43,44,07/0870843,0,1679,mps,37.65,72.36,221,0.92,74.17,74.11,73.67,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_海晏北路-民安东路.xlsx,
17,民安东路-会展中心,43,44,07/0870843,0,1541,mps,34.4,67.06,209,0.92,68.65,68.58,68.2,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_民安东路-会展中心.xlsx,
18,会展中心-院士路,43,44,07/0870843,0,2301,mps,49.32,78.12,834,0.92,78.85,78.78,78.69,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_会展中心-院士路.xlsx,
