Segment_ID,等级,时长
0,class3,114.05
1,class3,115.0
2,class3,116.1
3,class3,116.05
4,class3,115.1
5,class2,112.2
6,class3,114.95
7,class3,114.95
8,class3,113.85
9,class3,114.2
10,class2,111.9
11,class3,114.5
12,class3,113.8
13,class3,114.1
14,class2,111.2
15,class3,115.3
16,class3,114.55
17,class3,114.55
18,class3,117.55
19,class3,116.95
20,class2,111.35
21,class3,114.0
22,class3,114.95
23,class3,116.05
24,class3,114.05
25,class2,111.5
26,class3,115.4
27,class3,116.35
28,class3,114.4
29,class3,114.6
30,class3,116.45
31,class2,111.25
