time,dist,velocity,acceleration
0.05,0.0022507575154304504,0.04501515030860901,0.9003030061721802
0.1,0.00675333395600319,0.09005152881145478,0.9007275700569153
0.15000000000000002,0.013508786708116532,0.13510905504226686,0.9011505246162415
0.2,0.022518171519041064,0.18018769621849062,0.9015728235244751
0.25,0.033782541006803515,0.22528738975524903,0.9019938707351685
0.3,0.047302945703268054,0.27040809392929077,0.902414083480835
0.35,0.06308043256402016,0.3155497372150421,0.9028328657150269
0.39999999999999997,0.08111606031656265,0.36071255505084987,0.903256356716156
0.44999999999999996,0.10141092121601104,0.40589721798896783,0.9036932587623596
0.49999999999999994,0.12396610558032989,0.4511036872863769,0.9041293859481812
0.5499999999999999,0.14878269985318182,0.4963318854570388,0.9045639634132385
0.6,0.17586179003119468,0.5415818035602569,0.9049983620643616
0.65,0.20520445764064787,0.586853352189064,0.9054309725761414
0.7000000000000001,0.23681178078055382,0.6321464627981186,0.9058622121810913
0.7500000000000001,0.2706848345696926,0.6774610757827759,0.9062922596931458
0.8000000000000002,0.3068246912956238,0.7227971345186234,0.9067211747169495
0.8500000000000002,0.34523242205381394,0.7681546151638031,0.907149612903595
0.9000000000000002,0.38590909376740457,0.8135334342718125,0.9075763821601868
0.9500000000000003,0.42885570719838145,0.8589322686195374,0.9079766869544983
1.0000000000000002,0.4740730710327626,0.9043472766876222,0.9083001613616943
1.0500000000000003,0.5215619917213917,0.9497784137725831,0.9086227416992188
1.1000000000000003,0.5713232737779618,0.9952256411314011,0.9089445471763611
1.1500000000000004,0.6233577187359334,1.0406888991594314,0.9092651605606079
1.2000000000000004,0.6776661248505116,1.086168122291565,0.9095844626426697
1.2500000000000004,0.7342492847144604,1.1316631972789764,0.90990149974823
1.3000000000000005,0.7931079919636249,1.1771741449832915,0.9102189540863037
1.3500000000000005,0.8542430333793163,1.2227008283138274,0.9105336666107178
1.4000000000000006,0.9176551938056945,1.268243208527565,0.9108476042747498
1.4500000000000006,0.9833452555537223,1.3138012349605561,0.9111605286598206
1.5000000000000007,1.0513139969110488,1.3593748271465302,0.9114718437194824
1.5500000000000007,1.121562193930149,1.4049639403820038,0.9117822647094727
1.6000000000000008,1.1940906184911726,1.4505684912204742,0.9120910167694092
1.6500000000000008,1.2689000391960141,1.4961884140968322,0.9123984575271606
1.7000000000000008,1.3459912216663357,1.541823649406433,0.9127047061920166
1.7500000000000009,1.4253649300336835,1.5874741673469543,0.9130103588104248
1.800000000000001,1.5070219232141968,1.6331398636102676,0.9133139252662659
1.850000000000001,1.5909629565477368,1.6788206666707992,0.9136160612106323
1.900000000000001,1.6771887826919551,1.7245165228843689,0.9139171242713928
1.950000000000001,1.765700153112411,1.7702274084091185,0.9142177104949951
2.000000000000001,1.8564978134632106,1.8159532070159912,0.9145159721374512
2.0500000000000007,1.9495825064182277,1.8616938591003418,0.9148130416870117
2.1000000000000005,2.044954972118139,1.9074493139982223,0.9151090979576111
2.1500000000000004,2.1426159480214118,1.9532195180654526,0.9154040813446045
2.2,2.2425661680102347,1.9990043997764588,0.9156976342201233
2.25,2.344806362837553,2.0448038965463637,0.9159899353981018
2.3,2.449337258785963,2.0906179189682006,0.9162804484367371
2.3499999999999996,2.5561595793068412,2.1364464104175567,0.9165698289871216
2.3999999999999995,2.665274044722319,2.182289308309555,0.9168579578399658
2.4499999999999993,2.776681372821331,2.2281465619802474,0.9171450734138489
2.499999999999999,2.890382277071476,2.2740180850028993,0.9174304604530334
2.549999999999999,3.006377470046282,2.3199038594961165,0.9177154898643494
2.5999999999999988,3.1246676573157313,2.3658037453889844,0.9179977178573608
2.6499999999999986,3.2452535443007946,2.411717739701271,0.9182798862457275
2.6999999999999984,3.3681358322501183,2.4576457589864726,0.9185603857040405
2.7499999999999982,3.4933152186870573,2.5035877287387844,0.9188393950462341
2.799999999999998,3.6207923978567123,2.5495435833930964,0.9191170930862427
2.849999999999998,3.750568061172962,2.5955132663249962,0.9193936586380005
2.8999999999999977,3.8826428957283494,2.6414966911077493,0.9196684956550598
2.9499999999999975,4.017017587721347,2.687493839859962,0.9199429750442505
2.9999999999999973,4.153692819029092,2.733504626154899,0.9202157258987427
3.049999999999997,4.2926692652702325,2.779528924822807,0.9204859733581543
3.099999999999997,4.433947602212428,2.8255667388439174,0.9207562804222107
3.149999999999997,4.577528502345085,2.8716180026531215,0.921025276184082
3.1999999999999966,4.723412633389234,2.9176826208829874,0.9212923645973206
3.2499999999999964,4.871600660532713,2.9637605428695672,0.9215584397315979
