站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:02:01,08:02:31,Class4,121,215.34,0.0
同德路,08:04:59,08:05:29,Class2,148,215.82,0.48
石碶,08:07:18,08:07:48,Class3,109,216.42,0.6
雅渡,08:09:08,08:09:38,Class2,80,215.94,-0.48
庙堰,08:11:47,08:12:17,Class2,129,215.24,-0.7
钟公庙,08:13:50,08:14:20,Class2,93,215.24,0.0
鄞州区政府,08:15:50,08:16:20,Class3,90,219.62,4.38
钱湖南路,08:18:28,08:18:58,Class2,128,215.64,-3.98
南高教园区,08:20:34,08:21:04,Class2,96,222.5,6.86
下应路,08:22:58,08:23:28,Class3,114,224.8,2.3
大洋江,08:25:09,08:25:39,Class2,101,216.04,-8.76
泗港,08:27:11,08:27:41,Class3,92,215.44,-0.6
曹隘,08:29:49,08:30:19,Class2,128,216.32,0.88
柳隘,08:32:07,08:32:37,Class3,108,216.74,0.42
海晏北路,08:34:09,08:34:39,Class3,92,216.82,0.08
民安东路,08:36:04,08:36:34,Class3,85,217.82,1.0
会展中心,08:37:50,08:38:20,Class2,76,216.12,-1.7
院士路,08:40:12,08:40:42,Class2,112,219.02,2.9
盎孟港,08:42:18,08:42:48,Class4,96,217.32,-1.7
三官堂,08:45:00,08:45:30,Class2,132,216.42,-0.9
兴庄路,08:47:09,08:47:39,Class2,99,222.6,6.18
兴海南路,08:49:06,08:49:36,Class2,87,218.04,-4.56
梅堰,08:50:54,08:51:24,Class2,78,215.44,-2.6
永茂路,08:56:22,08:56:52,Class2,298,216.84,1.4
镇海大道,08:59:20,08:59:50,Class3,148,217.02,0.18
骆驼桥,09:01:46,-,Class2,116,215.24,-1.78
