站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.34,0.0
同德路,08:05:01,08:05:31,Class4,159,215.34,0.0
石碶,08:07:15,08:07:45,Class2,104,216.42,1.08
雅渡,08:09:11,08:09:41,Class4,86,220.6,4.18
庙堰,08:11:50,08:12:20,Class2,129,215.34,-5.26
钟公庙,08:13:56,08:14:26,Class3,96,226.0,10.66
鄞州区政府,08:16:01,08:16:31,Class4,95,215.64,-10.36
钱湖南路,08:18:43,08:19:13,Class3,132,215.94,0.3
南高教园区,08:20:49,08:21:19,Class2,96,215.84,-0.1
下应路,08:23:13,08:23:43,Class3,114,215.44,-0.4
大洋江,08:25:24,08:25:54,Class2,101,216.74,1.3
泗港,08:27:21,08:27:51,Class2,87,217.12,0.38
曹隘,08:30:01,08:30:31,Class3,130,220.1,2.98
柳隘,08:32:17,08:32:47,Class2,106,219.9,-0.2
海晏北路,08:34:23,08:34:53,Class4,96,221.5,1.6
民安东路,08:36:16,08:36:46,Class2,83,215.92,-5.58
会展中心,08:38:05,08:38:35,Class3,79,222.6,6.68
院士路,08:40:36,08:41:06,Class4,121,215.74,-6.86
盎孟港,08:42:34,08:43:04,Class2,88,215.44,-0.3
三官堂,08:45:16,08:45:46,Class2,132,215.74,0.3
兴庄路,08:47:30,08:48:00,Class3,104,217.44,1.7
兴海南路,08:49:27,08:49:57,Class2,87,215.74,-1.7
梅堰,08:51:15,08:51:45,Class2,78,215.34,-0.4
永茂路,08:56:43,08:57:13,Class2,298,215.64,0.3
镇海大道,08:59:49,09:00:19,Class4,156,215.44,-0.2
骆驼桥,09:02:15,-,Class2,116,215.34,-0.1
