站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.34,0.1
同德路,08:04:50,08:05:20,Class2,148,215.34,0.0
石碶,08:07:04,08:07:34,Class2,104,215.34,0.0
雅渡,08:08:54,08:09:24,Class2,80,216.24,0.9
庙堰,08:11:43,08:12:13,Class4,139,215.24,-1.0
钟公庙,08:13:49,08:14:19,Class3,96,215.54,0.3
鄞州区政府,08:15:45,08:16:15,Class2,86,215.54,0.0
钱湖南路,08:18:23,08:18:53,Class2,128,222.1,6.56
南高教园区,08:20:29,08:20:59,Class2,96,218.52,-3.58
下应路,08:22:49,08:23:19,Class2,110,222.9,4.38
大洋江,08:25:05,08:25:35,Class3,106,215.54,-7.36
泗港,08:27:02,08:27:32,Class2,87,221.3,5.76
曹隘,08:29:42,08:30:12,Class3,130,220.22,-1.08
柳隘,08:32:00,08:32:30,Class3,108,220.7,0.48
海晏北路,08:34:02,08:34:32,Class3,92,217.04,-3.66
民安东路,08:35:55,08:36:25,Class2,83,228.5,11.46
会展中心,08:37:44,08:38:14,Class3,79,216.14,-12.36
院士路,08:40:09,08:40:39,Class3,115,217.94,1.8
盎孟港,08:42:10,08:42:40,Class3,91,228.0,10.06
三官堂,08:44:52,08:45:22,Class2,132,215.44,-12.56
兴庄路,08:47:01,08:47:31,Class2,99,222.6,7.16
兴海南路,08:48:58,08:49:28,Class2,87,215.34,-7.26
梅堰,08:50:50,08:51:20,Class3,82,217.42,2.08
永茂路,08:56:18,08:56:48,Class2,298,215.64,-1.78
镇海大道,08:59:09,08:59:39,Class2,141,215.44,-0.2
骆驼桥,09:01:35,-,Class2,116,216.32,0.88
