站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.34,0.1
同德路,08:04:50,08:05:20,Class2,148,215.24,-0.1
石碶,08:07:09,08:07:39,Class3,109,216.42,1.18
雅渡,08:09:01,08:09:31,Class3,82,215.84,-0.58
庙堰,08:11:40,08:12:10,Class2,129,215.64,-0.2
钟公庙,08:13:43,08:14:13,Class2,93,217.72,2.08
鄞州区政府,08:15:39,08:16:09,Class2,86,216.24,-1.48
钱湖南路,08:18:17,08:18:47,Class2,128,215.74,-0.5
南高教园区,08:20:32,08:21:02,Class4,105,215.84,0.1
下应路,08:22:52,08:23:22,Class2,110,216.34,0.5
大洋江,08:25:13,08:25:43,Class4,111,216.34,0.0
泗港,08:27:19,08:27:49,Class4,96,216.24,-0.1
曹隘,08:29:57,08:30:27,Class2,128,216.94,0.7
柳隘,08:32:15,08:32:45,Class3,108,216.82,-0.12
海晏北路,08:34:12,08:34:42,Class2,87,225.1,8.28
民安东路,08:36:07,08:36:37,Class3,85,215.92,-9.18
会展中心,08:37:53,08:38:23,Class2,76,216.34,0.42
院士路,08:40:18,08:40:48,Class3,115,216.82,0.48
盎孟港,08:42:16,08:42:46,Class2,88,216.04,-0.78
三官堂,08:44:58,08:45:28,Class2,132,216.74,0.7
兴庄路,08:47:17,08:47:47,Class4,109,217.12,0.38
兴海南路,08:49:14,08:49:44,Class2,87,216.72,-0.4
梅堰,08:51:06,08:51:36,Class3,82,215.34,-1.38
永茂路,08:56:49,08:57:19,Class3,313,217.92,2.58
镇海大道,08:59:40,09:00:10,Class2,141,217.02,-0.9
骆驼桥,09:02:06,-,Class2,116,215.44,-1.58
