站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:02:01,08:02:31,Class4,121,215.24,0.0
同德路,08:04:59,08:05:29,Class2,148,215.44,0.2
石碶,08:07:13,08:07:43,Class2,104,216.42,0.98
雅渡,08:09:03,08:09:33,Class2,80,216.14,-0.28
庙堰,08:11:42,08:12:12,Class2,129,216.74,0.6
钟公庙,08:13:48,08:14:18,Class3,96,215.34,-1.4
鄞州区政府,08:15:48,08:16:18,Class3,90,215.94,0.6
钱湖南路,08:18:26,08:18:56,Class2,128,216.24,0.3
南高教园区,08:20:32,08:21:02,Class2,96,227.8,11.56
下应路,08:22:56,08:23:26,Class3,114,215.44,-12.36
大洋江,08:25:12,08:25:42,Class3,106,218.82,3.38
泗港,08:27:14,08:27:44,Class3,92,215.74,-3.08
曹隘,08:29:54,08:30:24,Class3,130,215.54,-0.2
柳隘,08:32:17,08:32:47,Class4,113,224.8,9.26
海晏北路,08:34:23,08:34:53,Class4,96,225.1,0.3
民安东路,08:36:16,08:36:46,Class2,83,234.8,9.7
会展中心,08:38:02,08:38:32,Class2,76,228.0,-6.8
院士路,08:40:27,08:40:57,Class3,115,216.24,-11.76
盎孟港,08:42:25,08:42:55,Class2,88,218.02,1.78
三官堂,08:45:14,08:45:44,Class3,139,218.4,0.38
兴庄路,08:47:28,08:47:58,Class3,104,216.04,-2.36
兴海南路,08:49:25,08:49:55,Class2,87,215.34,-0.7
梅堰,08:51:17,08:51:47,Class3,82,217.42,2.08
永茂路,08:56:45,08:57:15,Class2,298,215.24,-2.18
镇海大道,08:59:36,09:00:06,Class2,141,215.44,0.2
骆驼桥,09:02:14,-,Class4,128,215.74,0.3
