站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.24,0.0
同德路,08:04:50,08:05:20,Class2,148,215.34,0.1
石碶,08:07:04,08:07:34,Class2,104,215.34,0.0
雅渡,08:08:54,08:09:24,Class2,80,215.44,0.1
庙堰,08:11:43,08:12:13,Class4,139,225.7,10.26
钟公庙,08:13:49,08:14:19,Class3,96,215.64,-10.06
鄞州区政府,08:15:45,08:16:15,Class2,86,228.1,12.46
钱湖南路,08:18:27,08:18:57,Class3,132,215.44,-12.66
南高教园区,08:20:33,08:21:03,Class2,96,215.84,0.4
下应路,08:22:53,08:23:23,Class2,110,221.5,5.66
大洋江,08:25:09,08:25:39,Class3,106,216.24,-5.26
泗港,08:27:06,08:27:36,Class2,87,231.2,14.96
曹隘,08:29:46,08:30:16,Class3,130,215.84,-15.36
柳隘,08:32:02,08:32:32,Class2,106,215.24,-0.6
海晏北路,08:34:04,08:34:34,Class3,92,216.82,1.58
民安东路,08:35:59,08:36:29,Class3,85,219.72,2.9
会展中心,08:37:48,08:38:18,Class3,79,228.0,8.28
院士路,08:40:10,08:40:40,Class2,112,217.44,-10.56
盎孟港,08:42:16,08:42:46,Class4,96,219.22,1.78
三官堂,08:44:58,08:45:28,Class2,132,216.94,-2.28
兴庄路,08:47:07,08:47:37,Class2,99,215.54,-1.4
兴海南路,08:49:04,08:49:34,Class2,87,218.72,3.18
梅堰,08:50:52,08:51:22,Class2,78,215.54,-3.18
永茂路,08:56:35,08:57:05,Class3,313,215.44,-0.1
镇海大道,08:59:33,09:00:03,Class3,148,215.54,0.1
骆驼桥,09:02:05,-,Class3,122,215.44,-0.1
