站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.34,0.1
同德路,08:04:50,08:05:20,Class2,148,215.44,0.1
石碶,08:07:09,08:07:39,Class3,109,215.24,-0.2
雅渡,08:09:05,08:09:35,Class4,86,215.34,0.1
庙堰,08:11:44,08:12:14,Class2,129,222.3,6.96
钟公庙,08:13:47,08:14:17,Class2,93,227.8,5.5
鄞州区政府,08:15:47,08:16:17,Class3,90,229.9,2.1
钱湖南路,08:18:25,08:18:55,Class2,128,231.4,1.5
南高教园区,08:20:40,08:21:10,Class4,105,216.44,-14.96
下应路,08:23:00,08:23:30,Class2,110,219.02,2.58
大洋江,08:25:16,08:25:46,Class3,106,232.0,12.98
泗港,08:27:13,08:27:43,Class2,87,216.24,-15.76
曹隘,08:30:00,08:30:30,Class4,137,220.3,4.06
柳隘,08:32:18,08:32:48,Class3,108,220.7,0.4
海晏北路,08:34:15,08:34:45,Class2,87,216.14,-4.56
民安东路,08:36:14,08:36:44,Class4,89,216.64,0.5
会展中心,08:38:00,08:38:30,Class2,76,229.0,12.36
院士路,08:40:22,08:40:52,Class2,112,220.12,-8.88
盎孟港,08:42:23,08:42:53,Class3,91,215.74,-4.38
三官堂,08:45:05,08:45:35,Class2,132,215.44,-0.3
兴庄路,08:47:24,08:47:54,Class4,109,216.52,1.08
兴海南路,08:49:21,08:49:51,Class2,87,215.64,-0.88
梅堰,08:51:09,08:51:39,Class2,78,216.22,0.58
永茂路,08:56:37,08:57:07,Class2,298,217.12,0.9
镇海大道,08:59:28,08:59:58,Class2,141,215.64,-1.48
骆驼桥,09:01:54,-,Class2,116,215.84,0.2
