站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.34,0.1
同德路,08:04:50,08:05:20,Class2,148,215.44,0.1
石碶,08:07:09,08:07:39,Class3,109,215.34,-0.1
雅渡,08:08:59,08:09:29,Class2,80,220.6,5.26
庙堰,08:11:41,08:12:11,Class3,132,215.24,-5.36
钟公庙,08:13:44,08:14:14,Class2,93,215.84,0.6
鄞州区政府,08:15:44,08:16:14,Class3,90,229.9,14.06
钱湖南路,08:18:22,08:18:52,Class2,128,228.0,-1.9
南高教园区,08:20:37,08:21:07,Class4,105,216.24,-11.76
下应路,08:22:57,08:23:27,Class2,110,230.7,14.46
大洋江,08:25:08,08:25:38,Class2,101,215.54,-15.16
泗港,08:27:14,08:27:44,Class4,96,215.64,0.1
曹隘,08:29:52,08:30:22,Class2,128,220.3,4.66
柳隘,08:32:08,08:32:38,Class2,106,216.14,-4.16
海晏北路,08:34:14,08:34:44,Class4,96,216.14,0.0
民安东路,08:36:07,08:36:37,Class2,83,215.24,-0.9
会展中心,08:37:56,08:38:26,Class3,79,225.2,9.96
院士路,08:40:21,08:40:51,Class3,115,215.24,-9.96
盎孟港,08:42:22,08:42:52,Class3,91,219.4,4.16
三官堂,08:45:18,08:45:48,Class4,146,216.52,-2.88
兴庄路,08:47:27,08:47:57,Class2,99,218.52,2.0
兴海南路,08:49:28,08:49:58,Class3,91,215.44,-3.08
梅堰,08:51:16,08:51:46,Class2,78,215.34,-0.1
永茂路,08:56:44,08:57:14,Class2,298,217.42,2.08
镇海大道,08:59:35,09:00:05,Class2,141,215.34,-2.08
骆驼桥,09:02:07,-,Class3,122,216.04,0.7
