站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:55,08:02:25,Class3,115,215.24,0.0
同德路,08:05:04,08:05:34,Class4,159,215.94,0.7
石碶,08:07:23,08:07:53,Class3,109,215.34,-0.6
雅渡,08:09:15,08:09:45,Class3,82,215.74,0.4
庙堰,08:11:54,08:12:24,Class2,129,215.74,0.0
钟公庙,08:14:00,08:14:30,Class3,96,215.84,0.1
鄞州区政府,08:15:56,08:16:26,Class2,86,215.54,-0.3
钱湖南路,08:18:34,08:19:04,Class2,128,218.42,2.88
南高教园区,08:20:49,08:21:19,Class4,105,216.54,-1.88
下应路,08:23:13,08:23:43,Class3,114,222.9,6.36
大洋江,08:25:29,08:25:59,Class3,106,216.64,-6.26
泗港,08:27:31,08:28:01,Class3,92,216.44,-0.2
曹隘,08:30:09,08:30:39,Class2,128,225.2,8.76
柳隘,08:32:25,08:32:55,Class2,106,220.7,-4.5
海晏北路,08:34:27,08:34:57,Class3,92,216.44,-4.26
民安东路,08:36:20,08:36:50,Class2,83,217.74,1.3
会展中心,08:38:06,08:38:36,Class2,76,217.82,0.08
院士路,08:40:28,08:40:58,Class2,112,216.44,-1.38
盎孟港,08:42:29,08:42:59,Class3,91,215.94,-0.5
三官堂,08:45:11,08:45:41,Class2,132,228.7,12.76
兴庄路,08:47:25,08:47:55,Class3,104,215.74,-12.96
兴海南路,08:49:26,08:49:56,Class3,91,215.74,0.0
梅堰,08:51:14,08:51:44,Class2,78,215.54,-0.2
永茂路,08:56:42,08:57:12,Class2,298,215.54,0.0
镇海大道,08:59:33,09:00:03,Class2,141,215.44,-0.1
骆驼桥,09:01:59,-,Class2,116,215.54,0.1
