站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:55,08:02:25,Class3,115,215.24,-0.1
同德路,08:04:56,08:05:26,Class3,151,215.34,0.1
石碶,08:07:20,08:07:50,Class4,114,215.24,-0.1
雅渡,08:09:16,08:09:46,Class4,86,220.6,5.36
庙堰,08:11:58,08:12:28,Class3,132,217.24,-3.36
钟公庙,08:14:04,08:14:34,Class3,96,216.84,-0.4
鄞州区政府,08:16:00,08:16:30,Class2,86,216.32,-0.52
钱湖南路,08:18:42,08:19:12,Class3,132,221.42,5.1
南高教园区,08:20:52,08:21:22,Class3,100,217.92,-3.5
下应路,08:23:16,08:23:46,Class3,114,216.14,-1.78
大洋江,08:25:27,08:25:57,Class2,101,224.3,8.16
泗港,08:27:33,08:28:03,Class4,96,221.3,-3.0
曹隘,08:30:11,08:30:41,Class2,128,215.64,-5.66
柳隘,08:32:27,08:32:57,Class2,106,216.04,0.4
海晏北路,08:34:29,08:34:59,Class3,92,221.5,5.46
民安东路,08:36:22,08:36:52,Class2,83,217.44,-4.06
会展中心,08:38:08,08:38:38,Class2,76,216.64,-0.8
院士路,08:40:30,08:41:00,Class2,112,229.2,12.56
盎孟港,08:42:36,08:43:06,Class4,96,216.54,-12.66
三官堂,08:45:18,08:45:48,Class2,132,218.4,1.86
兴庄路,08:47:27,08:47:57,Class2,99,224.3,5.9
兴海南路,08:49:24,08:49:54,Class2,87,215.64,-8.66
梅堰,08:51:12,08:51:42,Class2,78,216.04,0.4
永茂路,08:56:40,08:57:10,Class2,298,215.54,-0.5
镇海大道,08:59:38,09:00:08,Class3,148,215.24,-0.3
骆驼桥,09:02:10,-,Class3,122,216.32,1.08
