站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.24,0.0
同德路,08:04:50,08:05:20,Class2,148,215.34,0.1
石碶,08:07:04,08:07:34,Class2,104,216.62,1.28
雅渡,08:09:00,08:09:30,Class4,86,216.94,0.32
庙堰,08:11:49,08:12:19,Class4,139,215.64,-1.3
钟公庙,08:13:52,08:14:22,Class2,93,216.14,0.5
鄞州区政府,08:15:57,08:16:27,Class4,95,215.84,-0.3
钱湖南路,08:18:46,08:19:16,Class4,139,215.54,-0.3
南高教园区,08:20:52,08:21:22,Class2,96,216.42,0.88
下应路,08:23:16,08:23:46,Class3,114,216.34,-0.08
大洋江,08:25:32,08:26:02,Class3,106,222.1,5.76
泗港,08:27:34,08:28:04,Class3,92,219.92,-2.18
曹隘,08:30:12,08:30:42,Class2,128,217.02,-2.9
柳隘,08:32:28,08:32:58,Class2,106,215.92,-1.1
海晏北路,08:34:25,08:34:55,Class2,87,225.1,9.18
民安东路,08:36:20,08:36:50,Class3,85,219.72,-5.38
会展中心,08:38:09,08:38:39,Class3,79,218.42,-1.3
院士路,08:40:31,08:41:01,Class2,112,215.92,-2.5
盎孟港,08:42:29,08:42:59,Class2,88,216.82,0.9
三官堂,08:45:11,08:45:41,Class2,132,218.4,1.58
兴庄路,08:47:20,08:47:50,Class2,99,215.74,-2.66
兴海南路,08:49:21,08:49:51,Class3,91,215.44,-0.3
梅堰,08:51:13,08:51:43,Class3,82,216.04,0.6
永茂路,08:56:41,08:57:11,Class2,298,215.74,-0.3
镇海大道,08:59:32,09:00:02,Class2,141,215.74,0.0
骆驼桥,09:01:58,-,Class2,116,216.32,0.58
