站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:55,08:02:25,Class3,115,215.34,0.1
同德路,08:04:53,08:05:23,Class2,148,215.74,0.4
石碶,08:07:07,08:07:37,Class2,104,215.34,-0.4
雅渡,08:09:03,08:09:33,Class4,86,215.84,0.5
庙堰,08:11:42,08:12:12,Class2,129,222.3,6.46
钟公庙,08:13:45,08:14:15,Class2,93,215.84,-6.46
鄞州区政府,08:15:45,08:16:15,Class3,90,215.54,-0.3
钱湖南路,08:18:34,08:19:04,Class4,139,215.94,0.4
南高教园区,08:20:44,08:21:14,Class3,100,216.24,0.3
下应路,08:23:14,08:23:44,Class4,120,216.82,0.58
大洋江,08:25:30,08:26:00,Class3,106,216.82,0.0
泗港,08:27:36,08:28:06,Class4,96,238.5,21.68
曹隘,08:30:14,08:30:44,Class2,128,215.24,-23.26
柳隘,08:32:32,08:33:02,Class3,108,216.24,1.0
海晏北路,08:34:29,08:34:59,Class2,87,220.7,4.46
民安东路,08:36:22,08:36:52,Class2,83,219.72,-0.98
会展中心,08:38:08,08:38:38,Class2,76,218.42,-1.3
院士路,08:40:33,08:41:03,Class3,115,228.4,9.98
盎孟港,08:42:34,08:43:04,Class3,91,216.74,-11.66
三官堂,08:45:23,08:45:53,Class3,139,216.54,-0.2
兴庄路,08:47:32,08:48:02,Class2,99,215.54,-1.0
兴海南路,08:49:29,08:49:59,Class2,87,216.04,0.5
梅堰,08:51:17,08:51:47,Class2,78,216.04,0.0
永茂路,08:56:45,08:57:15,Class2,298,217.92,1.88
镇海大道,08:59:36,09:00:06,Class2,141,216.54,-1.38
骆驼桥,09:02:02,-,Class2,116,215.54,-1.0
