站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:55,08:02:25,Class3,115,215.24,-0.1
同德路,08:04:53,08:05:23,Class2,148,215.74,0.5
石碶,08:07:07,08:07:37,Class2,104,216.62,0.88
雅渡,08:08:59,08:09:29,Class3,82,223.1,6.48
庙堰,08:11:41,08:12:11,Class3,132,215.94,-7.16
钟公庙,08:13:44,08:14:14,Class2,93,217.72,1.78
鄞州区政府,08:15:44,08:16:14,Class3,90,216.24,-1.48
钱湖南路,08:18:26,08:18:56,Class3,132,228.0,11.76
南高教园区,08:20:36,08:21:06,Class3,100,216.14,-11.86
下应路,08:23:00,08:23:30,Class3,114,224.8,8.66
大洋江,08:25:21,08:25:51,Class4,111,215.54,-9.26
泗港,08:27:18,08:27:48,Class2,87,219.92,4.38
曹隘,08:29:58,08:30:28,Class3,130,216.94,-2.98
柳隘,08:32:14,08:32:44,Class2,106,215.84,-1.1
海晏北路,08:34:11,08:34:41,Class2,87,215.74,-0.1
民安东路,08:36:04,08:36:34,Class2,83,228.5,12.76
会展中心,08:37:50,08:38:20,Class2,76,216.64,-11.86
院士路,08:40:15,08:40:45,Class3,115,215.74,-0.9
盎孟港,08:42:13,08:42:43,Class2,88,216.04,0.3
三官堂,08:45:09,08:45:39,Class4,146,215.64,-0.4
兴庄路,08:47:23,08:47:53,Class3,104,216.52,0.88
兴海南路,08:49:20,08:49:50,Class2,87,216.54,0.02
梅堰,08:51:16,08:51:46,Class4,86,215.34,-1.2
永茂路,08:56:44,08:57:14,Class2,298,216.14,0.8
镇海大道,08:59:35,09:00:05,Class2,141,217.02,0.88
骆驼桥,09:02:01,-,Class2,116,216.04,-0.98
