站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:55,08:02:25,Class3,115,215.34,0.0
同德路,08:04:56,08:05:26,Class3,151,215.24,-0.1
石碶,08:07:15,08:07:45,Class3,109,215.34,0.1
雅渡,08:09:07,08:09:37,Class3,82,216.04,0.7
庙堰,08:11:46,08:12:16,Class2,129,216.74,0.7
钟公庙,08:13:49,08:14:19,Class2,93,225.9,9.16
鄞州区政府,08:15:45,08:16:15,Class2,86,219.4,-6.5
钱湖南路,08:18:23,08:18:53,Class2,128,215.44,-3.96
南高教园区,08:20:29,08:20:59,Class2,96,215.94,0.5
下应路,08:22:49,08:23:19,Class2,110,224.8,8.86
大洋江,08:25:05,08:25:35,Class3,106,216.34,-8.46
泗港,08:27:02,08:27:32,Class2,87,216.24,-0.1
曹隘,08:29:40,08:30:10,Class2,128,225.2,8.96
柳隘,08:32:03,08:32:33,Class4,113,215.74,-9.46
海晏北路,08:34:09,08:34:39,Class4,96,220.3,4.56
民安东路,08:36:02,08:36:32,Class2,83,215.64,-4.66
会展中心,08:37:48,08:38:18,Class2,76,218.12,2.48
院士路,08:40:13,08:40:43,Class3,115,215.94,-2.18
盎孟港,08:42:14,08:42:44,Class3,91,228.0,12.06
三官堂,08:44:56,08:45:26,Class2,132,215.74,-12.26
兴庄路,08:47:15,08:47:45,Class4,109,215.84,0.1
兴海南路,08:49:16,08:49:46,Class3,91,215.64,-0.2
梅堰,08:51:04,08:51:34,Class2,78,216.04,0.4
永茂路,08:56:32,08:57:02,Class2,298,216.32,0.28
镇海大道,08:59:38,09:00:08,Class4,156,216.54,0.22
骆驼桥,09:02:16,-,Class4,128,215.64,-0.9
