站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.34,0.0
同德路,08:04:53,08:05:23,Class3,151,215.74,0.4
石碶,08:07:07,08:07:37,Class2,104,216.72,0.98
雅渡,08:08:59,08:09:29,Class3,82,223.1,6.38
庙堰,08:11:38,08:12:08,Class2,129,216.84,-6.26
钟公庙,08:13:44,08:14:14,Class3,96,225.9,9.06
鄞州区政府,08:15:40,08:16:10,Class2,86,216.44,-9.46
钱湖南路,08:18:22,08:18:52,Class3,132,215.54,-0.9
南高教园区,08:20:28,08:20:58,Class2,96,227.8,12.26
下应路,08:22:48,08:23:18,Class2,110,216.14,-11.66
大洋江,08:25:04,08:25:34,Class3,106,222.1,5.96
泗港,08:27:01,08:27:31,Class2,87,219.92,-2.18
曹隘,08:29:41,08:30:11,Class3,130,216.14,-3.78
柳隘,08:32:04,08:32:34,Class4,113,243.1,26.96
海晏北路,08:34:01,08:34:31,Class2,87,216.22,-26.88
民安东路,08:35:56,08:36:26,Class3,85,221.8,5.58
会展中心,08:37:45,08:38:15,Class3,79,217.62,-4.18
院士路,08:40:10,08:40:40,Class3,115,217.14,-0.48
盎孟港,08:42:16,08:42:46,Class4,96,228.0,10.86
三官堂,08:44:58,08:45:28,Class2,132,215.64,-12.36
兴庄路,08:47:07,08:47:37,Class2,99,215.64,0.0
兴海南路,08:49:04,08:49:34,Class2,87,218.72,3.08
梅堰,08:50:56,08:51:26,Class3,82,216.34,-2.38
永茂路,08:56:24,08:56:54,Class2,298,215.44,-0.9
镇海大道,08:59:15,08:59:45,Class2,141,215.54,0.1
骆驼桥,09:01:41,-,Class2,116,215.74,0.2
