站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.34,0.0
同德路,08:04:53,08:05:23,Class3,151,215.34,0.0
石碶,08:07:07,08:07:37,Class2,104,215.44,0.1
雅渡,08:08:57,08:09:27,Class2,80,215.84,0.4
庙堰,08:11:46,08:12:16,Class4,139,215.44,-0.4
钟公庙,08:13:49,08:14:19,Class2,93,215.64,0.2
鄞州区政府,08:15:54,08:16:24,Class4,95,216.24,0.6
钱湖南路,08:18:36,08:19:06,Class3,132,221.42,5.18
南高教园区,08:20:46,08:21:16,Class3,100,217.52,-3.9
下应路,08:23:06,08:23:36,Class2,110,236.7,19.18
大洋江,08:25:22,08:25:52,Class3,106,216.24,-20.46
泗港,08:27:19,08:27:49,Class2,87,216.44,0.2
曹隘,08:29:59,08:30:29,Class3,130,222.9,6.46
柳隘,08:32:17,08:32:47,Class3,108,216.64,-6.26
海晏北路,08:34:23,08:34:53,Class4,96,225.1,8.46
民安东路,08:36:18,08:36:48,Class3,85,215.92,-9.18
会展中心,08:38:04,08:38:34,Class2,76,216.54,0.62
院士路,08:40:29,08:40:59,Class3,115,217.02,0.48
盎孟港,08:42:35,08:43:05,Class4,96,219.22,2.2
三官堂,08:45:24,08:45:54,Class3,139,216.04,-3.18
兴庄路,08:47:38,08:48:08,Class3,104,217.44,1.4
兴海南路,08:49:44,08:50:14,Class4,96,216.24,-1.2
梅堰,08:51:32,08:52:02,Class2,78,217.42,1.18
永茂路,08:57:00,08:57:30,Class2,298,217.92,0.5
镇海大道,08:59:51,09:00:21,Class2,141,217.12,-0.8
骆驼桥,09:02:17,-,Class2,116,216.32,-0.8
