站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:02:01,08:02:31,Class4,121,215.34,0.0
同德路,08:05:10,08:05:40,Class4,159,215.24,-0.1
石碶,08:07:24,08:07:54,Class2,104,216.72,1.48
雅渡,08:09:14,08:09:44,Class2,80,216.14,-0.58
庙堰,08:11:56,08:12:26,Class3,132,215.74,-0.4
钟公庙,08:14:02,08:14:32,Class3,96,215.34,-0.4
鄞州区政府,08:15:58,08:16:28,Class2,86,228.2,12.86
钱湖南路,08:18:40,08:19:10,Class3,132,228.0,-0.2
南高教园区,08:20:46,08:21:16,Class2,96,216.04,-11.96
下应路,08:23:06,08:23:36,Class2,110,215.54,-0.5
大洋江,08:25:17,08:25:47,Class2,101,216.64,1.1
泗港,08:27:19,08:27:49,Class3,92,215.54,-1.1
曹隘,08:29:59,08:30:29,Class3,130,217.72,2.18
柳隘,08:32:22,08:32:52,Class4,113,224.8,7.08
海晏北路,08:34:24,08:34:54,Class3,92,216.22,-8.58
民安东路,08:36:17,08:36:47,Class2,83,215.64,-0.58
会展中心,08:38:03,08:38:33,Class2,76,216.54,0.9
院士路,08:40:28,08:40:58,Class3,115,216.74,0.2
盎孟港,08:42:26,08:42:56,Class2,88,215.84,-0.9
三官堂,08:45:08,08:45:38,Class2,132,228.2,12.36
兴庄路,08:47:22,08:47:52,Class3,104,216.94,-11.26
兴海南路,08:49:19,08:49:49,Class2,87,215.54,-1.4
梅堰,08:51:11,08:51:41,Class3,82,217.22,1.68
永茂路,08:56:39,08:57:09,Class2,298,215.84,-1.38
镇海大道,08:59:30,09:00:00,Class2,141,215.54,-0.3
骆驼桥,09:01:56,-,Class2,116,215.74,0.2
