站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.34,0.1
同德路,08:04:53,08:05:23,Class3,151,215.34,0.0
石碶,08:07:07,08:07:37,Class2,104,215.74,0.4
雅渡,08:08:57,08:09:27,Class2,80,216.64,0.9
庙堰,08:11:39,08:12:09,Class3,132,216.74,0.1
钟公庙,08:13:42,08:14:12,Class2,93,216.14,-0.6
鄞州区政府,08:15:38,08:16:08,Class2,86,229.9,13.76
钱湖南路,08:18:20,08:18:50,Class3,132,221.8,-8.1
南高教园区,08:20:30,08:21:00,Class3,100,216.14,-5.66
下应路,08:23:00,08:23:30,Class4,120,215.44,-0.7
大洋江,08:25:11,08:25:41,Class2,101,215.64,0.2
泗港,08:27:08,08:27:38,Class2,87,215.64,0.0
曹隘,08:29:46,08:30:16,Class2,128,216.94,1.3
柳隘,08:32:04,08:32:34,Class3,108,220.7,3.76
海晏北路,08:34:06,08:34:36,Class3,92,215.64,-5.06
民安东路,08:35:59,08:36:29,Class2,83,224.1,8.46
会展中心,08:37:52,08:38:22,Class4,83,220.12,-3.98
院士路,08:40:17,08:40:47,Class3,115,215.92,-4.2
盎孟港,08:42:15,08:42:45,Class2,88,215.94,0.02
三官堂,08:45:04,08:45:34,Class3,139,225.8,9.86
兴庄路,08:47:13,08:47:43,Class2,99,216.24,-9.56
兴海南路,08:49:10,08:49:40,Class2,87,216.24,0.0
梅堰,08:50:58,08:51:28,Class2,78,216.04,-0.2
永茂路,08:56:26,08:56:56,Class2,298,216.84,0.8
镇海大道,08:59:17,08:59:47,Class2,141,215.74,-1.1
骆驼桥,09:01:43,-,Class2,116,216.74,1.0
