站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:02:01,08:02:31,Class4,121,215.24,-0.1
同德路,08:05:02,08:05:32,Class3,151,215.44,0.2
石碶,08:07:16,08:07:46,Class2,104,215.44,0.0
雅渡,08:09:12,08:09:42,Class4,86,215.24,-0.2
庙堰,08:11:54,08:12:24,Class3,132,216.04,0.8
钟公庙,08:14:00,08:14:30,Class3,96,225.9,9.86
鄞州区政府,08:16:00,08:16:30,Class3,90,215.94,-9.96
钱湖南路,08:18:38,08:19:08,Class2,128,216.04,0.1
南高教园区,08:20:48,08:21:18,Class3,100,233.6,17.56
下应路,08:23:08,08:23:38,Class2,110,216.64,-16.96
大洋江,08:25:24,08:25:54,Class3,106,215.94,-0.7
泗港,08:27:26,08:27:56,Class3,92,223.2,7.26
曹隘,08:30:04,08:30:34,Class2,128,231.0,7.8
柳隘,08:32:22,08:32:52,Class3,108,216.74,-14.26
海晏北路,08:34:19,08:34:49,Class2,87,220.7,3.96
民安东路,08:36:18,08:36:48,Class4,89,216.54,-4.16
会展中心,08:38:11,08:38:41,Class4,83,229.0,12.46
院士路,08:40:36,08:41:06,Class3,115,220.8,-8.2
盎孟港,08:42:34,08:43:04,Class2,88,228.0,7.2
三官堂,08:45:16,08:45:46,Class2,132,228.2,0.2
兴庄路,08:47:25,08:47:55,Class2,99,215.24,-12.96
兴海南路,08:49:31,08:50:01,Class4,96,216.24,1.0
梅堰,08:51:19,08:51:49,Class2,78,215.74,-0.5
永茂路,08:57:02,08:57:32,Class3,313,217.42,1.68
镇海大道,08:59:53,09:00:23,Class2,141,216.54,-0.88
骆驼桥,09:02:19,-,Class2,116,215.84,-0.7
