站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.24,-0.1
同德路,08:05:01,08:05:31,Class4,159,215.24,0.0
石碶,08:07:15,08:07:45,Class2,104,215.24,0.0
雅渡,08:09:11,08:09:41,Class4,86,215.64,0.4
庙堰,08:11:50,08:12:20,Class2,129,215.24,-0.4
钟公庙,08:14:01,08:14:31,Class4,101,215.34,0.1
鄞州区政府,08:16:01,08:16:31,Class3,90,216.24,0.9
钱湖南路,08:18:39,08:19:09,Class2,128,217.22,0.98
南高教园区,08:20:54,08:21:24,Class4,105,216.82,-0.4
下应路,08:23:14,08:23:44,Class2,110,216.64,-0.18
大洋江,08:25:30,08:26:00,Class3,106,216.64,0.0
泗港,08:27:27,08:27:57,Class2,87,216.94,0.3
曹隘,08:30:05,08:30:35,Class2,128,215.84,-1.1
柳隘,08:32:23,08:32:53,Class3,108,216.44,0.6
海晏北路,08:34:20,08:34:50,Class2,87,225.5,9.06
民安东路,08:36:15,08:36:45,Class3,85,216.22,-9.28
会展中心,08:38:01,08:38:31,Class2,76,220.12,3.9
院士路,08:40:32,08:41:02,Class4,121,217.72,-2.4
盎孟港,08:42:30,08:43:00,Class2,88,216.32,-1.4
三官堂,08:45:12,08:45:42,Class2,132,218.4,2.08
兴庄路,08:47:26,08:47:56,Class3,104,224.3,5.9
兴海南路,08:49:27,08:49:57,Class3,91,215.34,-8.96
梅堰,08:51:15,08:51:45,Class2,78,217.82,2.48
永茂路,08:56:43,08:57:13,Class2,298,215.34,-2.48
镇海大道,08:59:34,09:00:04,Class2,141,217.02,1.68
骆驼桥,09:02:00,-,Class2,116,215.64,-1.38
