站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:02:01,08:02:31,Class4,121,215.24,0.0
同德路,08:05:02,08:05:32,Class3,151,215.34,0.1
石碶,08:07:21,08:07:51,Class3,109,215.34,0.0
雅渡,08:09:13,08:09:43,Class3,82,215.44,0.1
庙堰,08:11:52,08:12:22,Class2,129,216.84,1.4
钟公庙,08:13:55,08:14:25,Class2,93,226.0,9.16
鄞州区政府,08:15:55,08:16:25,Class3,90,215.94,-10.06
钱湖南路,08:18:33,08:19:03,Class2,128,215.44,-0.5
南高教园区,08:20:39,08:21:09,Class2,96,216.44,1.0
下应路,08:22:59,08:23:29,Class2,110,215.64,-0.8
大洋江,08:25:10,08:25:40,Class2,101,238.6,22.96
泗港,08:27:07,08:27:37,Class2,87,216.24,-22.36
曹隘,08:29:45,08:30:15,Class2,128,215.74,-0.5
柳隘,08:32:03,08:32:33,Class3,108,216.04,0.3
海晏北路,08:34:05,08:34:35,Class3,92,216.04,0.0
民安东路,08:35:58,08:36:28,Class2,83,217.04,1.0
会展中心,08:37:44,08:38:14,Class2,76,216.54,-0.5
院士路,08:40:15,08:40:45,Class4,121,215.92,-0.62
盎孟港,08:42:13,08:42:43,Class2,88,216.82,0.9
三官堂,08:44:55,08:45:25,Class2,132,216.94,0.12
兴庄路,08:47:04,08:47:34,Class2,99,222.6,5.66
兴海南路,08:49:01,08:49:31,Class2,87,218.72,-3.88
梅堰,08:50:53,08:51:23,Class3,82,217.22,-1.5
永茂路,08:56:21,08:56:51,Class2,298,217.12,-0.1
镇海大道,08:59:19,08:59:49,Class3,148,217.12,0.0
骆驼桥,09:01:45,-,Class2,116,215.74,-1.38
