站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.34,0.1
同德路,08:04:53,08:05:23,Class3,151,215.94,0.6
石碶,08:07:07,08:07:37,Class2,104,216.72,0.78
雅渡,08:08:59,08:09:29,Class3,82,216.54,-0.18
庙堰,08:11:41,08:12:11,Class3,132,216.94,0.4
钟公庙,08:13:44,08:14:14,Class2,93,225.9,8.96
鄞州区政府,08:15:44,08:16:14,Class3,90,215.34,-10.56
钱湖南路,08:18:26,08:18:56,Class3,132,216.14,0.8
南高教园区,08:20:32,08:21:02,Class2,96,221.92,5.78
下应路,08:23:02,08:23:32,Class4,120,215.44,-6.48
大洋江,08:25:18,08:25:48,Class3,106,218.82,3.38
泗港,08:27:15,08:27:45,Class2,87,216.94,-1.88
曹隘,08:29:55,08:30:25,Class3,130,216.14,-0.8
柳隘,08:32:11,08:32:41,Class2,106,216.04,-0.1
海晏北路,08:34:08,08:34:38,Class2,87,217.12,1.08
民安东路,08:36:07,08:36:37,Class4,89,216.22,-0.9
会展中心,08:37:53,08:38:23,Class2,76,223.6,7.38
院士路,08:40:18,08:40:48,Class3,115,220.8,-2.8
盎孟港,08:42:16,08:42:46,Class2,88,217.64,-3.16
三官堂,08:44:58,08:45:28,Class2,132,215.24,-2.4
兴庄路,08:47:07,08:47:37,Class2,99,224.3,9.06
兴海南路,08:49:04,08:49:34,Class2,87,217.82,-6.48
梅堰,08:50:56,08:51:26,Class3,82,216.22,-1.6
永茂路,08:56:39,08:57:09,Class3,313,215.54,-0.68
镇海大道,08:59:37,09:00:07,Class3,148,216.12,0.58
骆驼桥,09:02:03,-,Class2,116,215.44,-0.68
