站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:02:01,08:02:31,Class4,121,215.24,0.0
同德路,08:04:59,08:05:29,Class2,148,215.74,0.5
石碶,08:07:23,08:07:53,Class4,114,215.44,-0.3
雅渡,08:09:15,08:09:45,Class3,82,215.74,0.3
庙堰,08:12:04,08:12:34,Class4,139,215.54,-0.2
钟公庙,08:14:15,08:14:45,Class4,101,215.94,0.4
鄞州区政府,08:16:20,08:16:50,Class4,95,229.9,13.96
钱湖南路,08:19:02,08:19:32,Class3,132,216.14,-13.76
南高教园区,08:21:08,08:21:38,Class2,96,215.94,-0.2
下应路,08:23:28,08:23:58,Class2,110,230.7,14.76
大洋江,08:25:39,08:26:09,Class2,101,220.32,-10.38
泗港,08:27:45,08:28:15,Class4,96,219.2,-1.12
曹隘,08:30:23,08:30:53,Class2,128,215.94,-3.26
柳隘,08:32:39,08:33:09,Class2,106,215.44,-0.5
海晏北路,08:34:36,08:35:06,Class2,87,215.54,0.1
民安东路,08:36:31,08:37:01,Class3,85,217.62,2.08
会展中心,08:38:24,08:38:54,Class4,83,217.62,0.0
院士路,08:40:46,08:41:16,Class2,112,216.74,-0.88
盎孟港,08:42:47,08:43:17,Class3,91,215.74,-1.0
三官堂,08:45:29,08:45:59,Class2,132,219.02,3.28
兴庄路,08:47:38,08:48:08,Class2,99,216.34,-2.68
兴海南路,08:49:39,08:50:09,Class3,91,216.22,-0.12
梅堰,08:51:27,08:51:57,Class2,78,215.74,-0.48
永茂路,08:56:55,08:57:25,Class2,298,217.42,1.68
镇海大道,08:59:46,09:00:16,Class2,141,215.34,-2.08
骆驼桥,09:02:12,-,Class2,116,215.74,0.4
