站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.24,0.0
同德路,08:04:50,08:05:20,Class2,148,215.74,0.5
石碶,08:07:04,08:07:34,Class2,104,216.42,0.68
雅渡,08:08:56,08:09:26,Class3,82,215.24,-1.18
庙堰,08:11:45,08:12:15,Class4,139,215.54,0.3
钟公庙,08:13:51,08:14:21,Class3,96,215.54,0.0
鄞州区政府,08:15:56,08:16:26,Class4,95,229.9,14.36
钱湖南路,08:18:34,08:19:04,Class2,128,215.54,-14.36
南高教园区,08:20:40,08:21:10,Class2,96,216.42,0.88
下应路,08:23:04,08:23:34,Class3,114,236.7,20.28
大洋江,08:25:15,08:25:45,Class2,101,216.14,-20.56
泗港,08:27:21,08:27:51,Class4,96,215.64,-0.5
曹隘,08:29:59,08:30:29,Class2,128,216.14,0.5
柳隘,08:32:22,08:32:52,Class4,113,219.9,3.76
海晏北路,08:34:19,08:34:49,Class2,87,218.5,-1.4
民安东路,08:36:14,08:36:44,Class3,85,216.82,-1.68
会展中心,08:38:00,08:38:30,Class2,76,222.6,5.78
院士路,08:40:25,08:40:55,Class3,115,216.82,-5.78
盎孟港,08:42:23,08:42:53,Class2,88,216.74,-0.08
三官堂,08:45:05,08:45:35,Class2,132,225.8,9.06
兴庄路,08:47:19,08:47:49,Class3,104,215.24,-10.56
兴海南路,08:49:16,08:49:46,Class2,87,216.22,0.98
梅堰,08:51:04,08:51:34,Class2,78,217.42,1.2
永茂路,08:56:32,08:57:02,Class2,298,216.82,-0.6
镇海大道,08:59:23,08:59:53,Class2,141,216.12,-0.7
骆驼桥,09:01:55,-,Class3,122,215.34,-0.78
