站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:55,08:02:25,Class3,115,215.24,-0.1
同德路,08:04:53,08:05:23,Class2,148,215.74,0.5
石碶,08:07:07,08:07:37,Class2,104,215.74,0.0
雅渡,08:08:57,08:09:27,Class2,80,216.04,0.3
庙堰,08:11:36,08:12:06,Class2,129,224.3,8.26
钟公庙,08:13:47,08:14:17,Class4,101,227.8,3.5
鄞州区政府,08:15:43,08:16:13,Class2,86,215.84,-11.96
钱湖南路,08:18:25,08:18:55,Class3,132,221.8,5.96
南高教园区,08:20:35,08:21:05,Class3,100,233.6,11.8
下应路,08:22:55,08:23:25,Class2,110,221.5,-12.1
大洋江,08:25:16,08:25:46,Class4,111,218.22,-3.28
泗港,08:27:18,08:27:48,Class3,92,215.74,-2.48
曹隘,08:29:58,08:30:28,Class3,130,216.14,0.4
柳隘,08:32:16,08:32:46,Class3,108,215.74,-0.4
海晏北路,08:34:13,08:34:43,Class2,87,215.64,-0.1
民安东路,08:36:08,08:36:38,Class3,85,225.9,10.26
会展中心,08:37:54,08:38:24,Class2,76,217.82,-8.08
院士路,08:40:19,08:40:49,Class3,115,217.72,-0.1
盎孟港,08:42:25,08:42:55,Class4,96,216.82,-0.9
三官堂,08:45:14,08:45:44,Class3,139,216.14,-0.68
兴庄路,08:47:28,08:47:58,Class3,104,222.8,6.66
兴海南路,08:49:29,08:49:59,Class3,91,215.54,-7.26
梅堰,08:51:17,08:51:47,Class2,78,215.34,-0.2
永茂路,08:56:45,08:57:15,Class2,298,215.34,0.0
镇海大道,08:59:43,09:00:13,Class3,148,215.44,0.1
骆驼桥,09:02:09,-,Class2,116,215.54,0.1
