站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:55,08:02:25,Class3,115,215.24,0.0
同德路,08:04:56,08:05:26,Class3,151,215.24,0.0
石碶,08:07:15,08:07:45,Class3,109,215.74,0.5
雅渡,08:09:05,08:09:35,Class2,80,216.64,0.9
庙堰,08:11:44,08:12:14,Class2,129,216.04,-0.6
钟公庙,08:13:50,08:14:20,Class3,96,227.8,11.76
鄞州区政府,08:15:50,08:16:20,Class3,90,216.24,-11.56
钱湖南路,08:18:39,08:19:09,Class4,139,216.24,0.0
南高教园区,08:20:49,08:21:19,Class3,100,220.8,4.56
下应路,08:23:13,08:23:43,Class3,114,216.64,-4.16
大洋江,08:25:34,08:26:04,Class4,111,216.44,-0.2
泗港,08:27:31,08:28:01,Class2,87,223.2,6.76
曹隘,08:30:11,08:30:41,Class3,130,216.24,-6.96
柳隘,08:32:27,08:32:57,Class2,106,220.42,4.18
海晏北路,08:34:29,08:34:59,Class3,92,220.1,-0.32
民安东路,08:36:22,08:36:52,Class2,83,234.8,14.7
会展中心,08:38:11,08:38:41,Class3,79,216.44,-18.36
院士路,08:40:36,08:41:06,Class3,115,217.14,0.7
盎孟港,08:42:37,08:43:07,Class3,91,227.0,9.86
三官堂,08:45:19,08:45:49,Class2,132,216.82,-10.18
兴庄路,08:47:28,08:47:58,Class2,99,215.54,-1.28
兴海南路,08:49:25,08:49:55,Class2,87,215.24,-0.3
梅堰,08:51:13,08:51:43,Class2,78,215.34,0.1
永茂路,08:56:56,08:57:26,Class3,313,215.24,-0.1
镇海大道,08:59:54,09:00:24,Class3,148,216.12,0.88
骆驼桥,09:02:20,-,Class2,116,215.44,-0.68
