站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.24,-0.1
同德路,08:04:53,08:05:23,Class3,151,215.34,0.1
石碶,08:07:07,08:07:37,Class2,104,216.62,1.28
雅渡,08:08:59,08:09:29,Class3,82,215.44,-1.18
庙堰,08:11:38,08:12:08,Class2,129,215.84,0.4
钟公庙,08:13:41,08:14:11,Class2,93,216.84,1.0
鄞州区政府,08:15:37,08:16:07,Class2,86,219.4,2.56
钱湖南路,08:18:15,08:18:45,Class2,128,217.22,-2.18
南高教园区,08:20:21,08:20:51,Class2,96,216.14,-1.08
下应路,08:22:51,08:23:21,Class4,120,215.94,-0.2
大洋江,08:25:02,08:25:32,Class2,101,216.82,0.88
泗港,08:27:04,08:27:34,Class3,92,215.84,-0.98
曹隘,08:29:42,08:30:12,Class2,128,220.82,4.98
柳隘,08:31:58,08:32:28,Class2,106,215.72,-5.1
海晏北路,08:33:55,08:34:25,Class2,87,215.84,0.12
民安东路,08:35:50,08:36:20,Class3,85,216.22,0.38
会展中心,08:37:36,08:38:06,Class2,76,216.44,0.22
院士路,08:40:07,08:40:37,Class4,121,217.42,0.98
盎孟港,08:42:05,08:42:35,Class2,88,216.04,-1.38
三官堂,08:44:47,08:45:17,Class2,132,228.7,12.66
兴庄路,08:47:06,08:47:36,Class4,109,218.52,-10.18
兴海南路,08:49:07,08:49:37,Class3,91,215.64,-2.88
梅堰,08:51:03,08:51:33,Class4,86,215.44,-0.2
永茂路,08:56:31,08:57:01,Class2,298,217.12,1.68
镇海大道,08:59:22,08:59:52,Class2,141,216.54,-0.58
骆驼桥,09:01:48,-,Class2,116,216.74,0.2
