站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.24,-0.1
同德路,08:05:01,08:05:31,Class4,159,215.44,0.2
石碶,08:07:15,08:07:45,Class2,104,216.62,1.18
雅渡,08:09:11,08:09:41,Class4,86,216.34,-0.28
庙堰,08:11:53,08:12:23,Class3,132,225.7,9.36
钟公庙,08:13:59,08:14:29,Class3,96,217.24,-8.46
鄞州区政府,08:15:59,08:16:29,Class3,90,228.1,10.86
钱湖南路,08:18:41,08:19:11,Class3,132,231.4,3.3
南高教园区,08:20:47,08:21:17,Class2,96,220.8,-10.6
下应路,08:23:07,08:23:37,Class2,110,215.44,-5.36
大洋江,08:25:23,08:25:53,Class3,106,216.74,1.3
泗港,08:27:20,08:27:50,Class2,87,215.84,-0.9
曹隘,08:30:07,08:30:37,Class4,137,215.44,-0.4
柳隘,08:32:25,08:32:55,Class3,108,216.04,0.6
海晏北路,08:34:31,08:35:01,Class4,96,217.12,1.08
民安东路,08:36:24,08:36:54,Class2,83,224.1,6.98
会展中心,08:38:13,08:38:43,Class3,79,217.24,-6.86
院士路,08:40:38,08:41:08,Class3,115,220.12,2.88
盎孟港,08:42:36,08:43:06,Class2,88,219.4,-0.72
三官堂,08:45:18,08:45:48,Class2,132,215.34,-4.06
兴庄路,08:47:27,08:47:57,Class2,99,222.6,7.26
兴海南路,08:49:28,08:49:58,Class3,91,216.22,-6.38
梅堰,08:51:20,08:51:50,Class3,82,216.34,0.12
永茂路,08:56:48,08:57:18,Class2,298,215.84,-0.5
镇海大道,08:59:46,09:00:16,Class3,148,216.92,1.08
骆驼桥,09:02:18,-,Class3,122,215.34,-1.58
