站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.24,0.0
同德路,08:04:50,08:05:20,Class2,148,215.24,0.0
石碶,08:07:09,08:07:39,Class3,109,216.62,1.38
雅渡,08:09:05,08:09:35,Class4,86,223.1,6.48
庙堰,08:11:47,08:12:17,Class3,132,215.54,-7.56
钟公庙,08:13:53,08:14:23,Class3,96,227.8,12.26
鄞州区政府,08:15:58,08:16:28,Class4,95,215.94,-11.86
钱湖南路,08:18:47,08:19:17,Class4,139,231.4,15.46
南高教园区,08:20:53,08:21:23,Class2,96,216.44,-14.96
下应路,08:23:13,08:23:43,Class2,110,216.04,-0.4
大洋江,08:25:24,08:25:54,Class2,101,216.14,0.1
泗港,08:27:21,08:27:51,Class2,87,215.74,-0.4
曹隘,08:30:01,08:30:31,Class3,130,216.24,0.5
柳隘,08:32:19,08:32:49,Class3,108,216.82,0.58
海晏北路,08:34:16,08:34:46,Class2,87,216.22,-0.6
民安东路,08:36:15,08:36:45,Class4,89,219.32,3.1
会展中心,08:38:08,08:38:38,Class4,83,216.54,-2.78
院士路,08:40:33,08:41:03,Class3,115,229.2,12.66
盎孟港,08:42:39,08:43:09,Class4,96,215.74,-13.46
三官堂,08:45:21,08:45:51,Class2,132,218.84,3.1
兴庄路,08:47:30,08:48:00,Class2,99,222.6,3.76
兴海南路,08:49:31,08:50:01,Class3,91,215.84,-6.76
梅堰,08:51:19,08:51:49,Class2,78,217.82,1.98
永茂路,08:56:47,08:57:17,Class2,298,217.92,0.1
镇海大道,08:59:38,09:00:08,Class2,141,217.12,-0.8
骆驼桥,09:02:04,-,Class2,116,216.32,-0.8
