站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.34,0.0
同德路,08:04:50,08:05:20,Class2,148,215.94,0.6
石碶,08:07:04,08:07:34,Class2,104,215.24,-0.7
雅渡,08:08:54,08:09:24,Class2,80,217.04,1.8
庙堰,08:11:36,08:12:06,Class3,132,222.3,5.26
钟公庙,08:13:39,08:14:09,Class2,93,227.8,5.5
鄞州区政府,08:15:35,08:16:05,Class2,86,215.74,-12.06
钱湖南路,08:18:17,08:18:47,Class3,132,216.62,0.88
南高教园区,08:20:23,08:20:53,Class2,96,217.92,1.3
下应路,08:22:43,08:23:13,Class2,110,224.8,6.88
大洋江,08:24:54,08:25:24,Class2,101,232.0,7.2
泗港,08:26:51,08:27:21,Class2,87,216.64,-15.36
曹隘,08:29:29,08:29:59,Class2,128,216.84,0.2
柳隘,08:31:47,08:32:17,Class3,108,220.7,3.86
海晏北路,08:33:44,08:34:14,Class2,87,215.74,-4.96
民安东路,08:35:39,08:36:09,Class3,85,219.32,3.58
会展中心,08:37:32,08:38:02,Class4,83,220.12,0.8
院士路,08:39:54,08:40:24,Class2,112,220.12,0.0
盎孟港,08:41:52,08:42:22,Class2,88,217.64,-2.48
三官堂,08:44:34,08:45:04,Class2,132,225.8,8.16
兴庄路,08:46:53,08:47:23,Class4,109,224.3,-1.5
兴海南路,08:48:54,08:49:24,Class3,91,218.04,-6.26
梅堰,08:50:46,08:51:16,Class3,82,216.04,-2.0
永茂路,08:56:14,08:56:44,Class2,298,215.24,-0.8
镇海大道,08:59:05,08:59:35,Class2,141,215.64,0.4
骆驼桥,09:01:31,-,Class2,116,215.64,0.0
