站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:55,08:02:25,Class3,115,215.34,0.0
同德路,08:05:04,08:05:34,Class4,159,215.74,0.4
石碶,08:07:18,08:07:48,Class2,104,215.74,0.0
雅渡,08:09:08,08:09:38,Class2,80,215.84,0.1
庙堰,08:11:47,08:12:17,Class2,129,215.94,0.1
钟公庙,08:13:58,08:14:28,Class4,101,215.84,-0.1
鄞州区政府,08:15:58,08:16:28,Class3,90,215.84,0.0
钱湖南路,08:18:40,08:19:10,Class3,132,221.8,5.96
南高教园区,08:20:46,08:21:16,Class2,96,216.24,-5.56
下应路,08:23:06,08:23:36,Class2,110,215.44,-0.8
大洋江,08:25:17,08:25:47,Class2,101,232.0,16.56
泗港,08:27:14,08:27:44,Class2,87,216.42,-15.58
曹隘,08:30:01,08:30:31,Class4,137,216.34,-0.08
柳隘,08:32:24,08:32:54,Class4,113,216.24,-0.1
海晏北路,08:34:26,08:34:56,Class3,92,216.22,-0.02
民安东路,08:36:19,08:36:49,Class2,83,219.72,3.5
会展中心,08:38:12,08:38:42,Class4,83,217.24,-2.48
院士路,08:40:34,08:41:04,Class2,112,217.94,0.7
盎孟港,08:42:40,08:43:10,Class4,96,215.34,-2.6
三官堂,08:45:22,08:45:52,Class2,132,219.02,3.68
兴庄路,08:47:31,08:48:01,Class2,99,217.44,-1.58
兴海南路,08:49:28,08:49:58,Class2,87,216.04,-1.4
梅堰,08:51:16,08:51:46,Class2,78,216.34,0.3
永茂路,08:56:44,08:57:14,Class2,298,215.84,-0.5
镇海大道,08:59:42,09:00:12,Class3,148,217.12,1.28
骆驼桥,09:02:08,-,Class2,116,215.24,-1.88
