站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.34,0.0
同德路,08:04:53,08:05:23,Class3,151,215.44,0.1
石碶,08:07:07,08:07:37,Class2,104,215.24,-0.2
雅渡,08:09:03,08:09:33,Class4,86,222.3,7.06
庙堰,08:11:42,08:12:12,Class2,129,215.44,-6.86
钟公庙,08:13:45,08:14:15,Class2,93,215.24,-0.2
鄞州区政府,08:15:45,08:16:15,Class3,90,219.62,4.38
钱湖南路,08:18:27,08:18:57,Class3,132,221.42,1.8
南高教园区,08:20:37,08:21:07,Class3,100,220.02,-1.4
下应路,08:23:07,08:23:37,Class4,120,216.24,-3.78
大洋江,08:25:28,08:25:58,Class4,111,218.22,1.98
泗港,08:27:34,08:28:04,Class4,96,217.72,-0.5
曹隘,08:30:12,08:30:42,Class2,128,216.94,-0.78
柳隘,08:32:28,08:32:58,Class2,106,216.74,-0.2
海晏北路,08:34:25,08:34:55,Class2,87,215.64,-1.1
民安东路,08:36:20,08:36:50,Class3,85,215.74,0.1
会展中心,08:38:06,08:38:36,Class2,76,221.5,5.76
院士路,08:40:37,08:41:07,Class4,121,216.74,-4.76
盎孟港,08:42:38,08:43:08,Class3,91,216.04,-0.7
三官堂,08:45:20,08:45:50,Class2,132,215.74,-0.3
兴庄路,08:47:29,08:47:59,Class2,99,215.74,0.0
兴海南路,08:49:26,08:49:56,Class2,87,215.84,0.1
梅堰,08:51:14,08:51:44,Class2,78,215.64,-0.2
永茂路,08:56:42,08:57:12,Class2,298,216.14,0.5
镇海大道,08:59:33,09:00:03,Class2,141,215.64,-0.5
骆驼桥,09:02:11,-,Class4,128,215.84,0.2
