站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:02:01,08:02:31,Class4,121,215.24,0.0
同德路,08:04:59,08:05:29,Class2,148,215.94,0.7
石碶,08:07:13,08:07:43,Class2,104,215.24,-0.7
雅渡,08:09:03,08:09:33,Class2,80,216.14,0.9
庙堰,08:11:52,08:12:22,Class4,139,216.04,-0.1
钟公庙,08:13:58,08:14:28,Class3,96,217.54,1.5
鄞州区政府,08:15:54,08:16:24,Class2,86,216.44,-1.1
钱湖南路,08:18:32,08:19:02,Class2,128,217.22,0.78
南高教园区,08:20:38,08:21:08,Class2,96,215.94,-1.28
下应路,08:22:58,08:23:28,Class2,110,216.44,0.5
大洋江,08:25:09,08:25:39,Class2,101,215.54,-0.9
泗港,08:27:11,08:27:41,Class3,92,215.64,0.1
曹隘,08:29:49,08:30:19,Class2,128,217.72,2.08
柳隘,08:32:05,08:32:35,Class2,106,215.84,-1.88
海晏北路,08:34:02,08:34:32,Class2,87,217.12,1.28
民安东路,08:35:57,08:36:27,Class3,85,219.32,2.2
会展中心,08:37:43,08:38:13,Class2,76,215.64,-3.68
院士路,08:40:14,08:40:44,Class4,121,217.44,1.8
盎孟港,08:42:12,08:42:42,Class2,88,216.54,-0.9
三官堂,08:45:01,08:45:31,Class3,139,228.7,12.16
兴庄路,08:47:10,08:47:40,Class2,99,222.8,-5.9
兴海南路,08:49:07,08:49:37,Class2,87,217.82,-4.98
梅堰,08:50:55,08:51:25,Class2,78,216.22,-1.6
永茂路,08:56:23,08:56:53,Class2,298,216.32,0.1
镇海大道,08:59:14,08:59:44,Class2,141,215.54,-0.78
骆驼桥,09:01:52,-,Class4,128,215.24,-0.3
