站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:55,08:02:25,Class3,115,215.34,0.1
同德路,08:04:56,08:05:26,Class3,151,215.74,0.4
石碶,08:07:10,08:07:40,Class2,104,216.72,0.98
雅渡,08:09:02,08:09:32,Class3,82,215.94,-0.78
庙堰,08:11:44,08:12:14,Class3,132,217.24,1.3
钟公庙,08:13:47,08:14:17,Class2,93,215.94,-1.3
鄞州区政府,08:15:43,08:16:13,Class2,86,216.32,0.38
钱湖南路,08:18:21,08:18:51,Class2,128,216.62,0.3
南高教园区,08:20:31,08:21:01,Class3,100,216.34,-0.28
下应路,08:22:55,08:23:25,Class3,114,221.5,5.16
大洋江,08:25:06,08:25:36,Class2,101,232.0,10.5
泗港,08:27:03,08:27:33,Class2,87,216.04,-15.96
曹隘,08:29:43,08:30:13,Class3,130,216.94,0.9
柳隘,08:32:01,08:32:31,Class3,108,216.24,-0.7
海晏北路,08:34:07,08:34:37,Class4,96,215.24,-1.0
民安东路,08:36:00,08:36:30,Class2,83,247.7,32.46
会展中心,08:37:49,08:38:19,Class3,79,223.6,-24.1
院士路,08:40:11,08:40:41,Class2,112,216.14,-7.46
盎孟港,08:42:09,08:42:39,Class2,88,217.92,1.78
三官堂,08:44:51,08:45:21,Class2,132,215.44,-2.48
兴庄路,08:47:10,08:47:40,Class4,109,216.24,0.8
兴海南路,08:49:07,08:49:37,Class2,87,216.22,-0.02
梅堰,08:50:59,08:51:29,Class3,82,216.22,0.0
永茂路,08:56:27,08:56:57,Class2,298,215.44,-0.78
镇海大道,08:59:18,08:59:48,Class2,141,215.54,0.1
骆驼桥,09:01:50,-,Class3,122,215.44,-0.1
