站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:55,08:02:25,Class3,115,215.24,-0.1
同德路,08:04:56,08:05:26,Class3,151,215.44,0.2
石碶,08:07:20,08:07:50,Class4,114,215.34,-0.1
雅渡,08:09:12,08:09:42,Class3,82,215.74,0.4
庙堰,08:12:01,08:12:31,Class4,139,224.3,8.56
钟公庙,08:14:04,08:14:34,Class2,93,216.14,-8.16
鄞州区政府,08:16:00,08:16:30,Class2,86,215.84,-0.3
钱湖南路,08:18:49,08:19:19,Class4,139,215.64,-0.2
南高教园区,08:20:55,08:21:25,Class2,96,218.52,2.88
下应路,08:23:15,08:23:45,Class2,110,218.22,-0.3
大洋江,08:25:31,08:26:01,Class3,106,218.82,0.6
泗港,08:27:28,08:27:58,Class2,87,216.74,-2.08
曹隘,08:30:15,08:30:45,Class4,137,216.44,-0.3
柳隘,08:32:38,08:33:08,Class4,113,216.74,0.3
海晏北路,08:34:35,08:35:05,Class2,87,216.14,-0.6
民安东路,08:36:30,08:37:00,Class3,85,224.2,8.06
会展中心,08:38:16,08:38:46,Class2,76,216.44,-7.76
院士路,08:40:41,08:41:11,Class3,115,217.14,0.7
盎孟港,08:42:42,08:43:12,Class3,91,215.74,-1.4
三官堂,08:45:24,08:45:54,Class2,132,215.54,-0.2
兴庄路,08:47:43,08:48:13,Class4,109,216.04,0.5
兴海南路,08:49:40,08:50:10,Class2,87,215.24,-0.8
梅堰,08:51:28,08:51:58,Class2,78,216.34,1.1
永茂路,08:56:56,08:57:26,Class2,298,215.54,-0.8
镇海大道,08:59:47,09:00:17,Class2,141,215.54,0.0
骆驼桥,09:02:13,-,Class2,116,215.64,0.1
