站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:55,08:02:25,Class3,115,215.24,-0.1
同德路,08:04:56,08:05:26,Class3,151,215.82,0.58
石碶,08:07:20,08:07:50,Class4,114,215.34,-0.48
雅渡,08:09:10,08:09:40,Class2,80,215.34,0.0
庙堰,08:11:52,08:12:22,Class3,132,215.94,0.6
钟公庙,08:13:55,08:14:25,Class2,93,215.24,-0.7
鄞州区政府,08:15:51,08:16:21,Class2,86,215.34,0.1
钱湖南路,08:18:33,08:19:03,Class3,132,215.64,0.3
南高教园区,08:20:43,08:21:13,Class3,100,216.44,0.8
下应路,08:23:03,08:23:33,Class2,110,216.72,0.28
大洋江,08:25:14,08:25:44,Class2,101,216.82,0.1
泗港,08:27:11,08:27:41,Class2,87,216.04,-0.78
曹隘,08:29:51,08:30:21,Class3,130,215.24,-0.8
柳隘,08:32:14,08:32:44,Class4,113,216.94,1.7
海晏北路,08:34:11,08:34:41,Class2,87,215.64,-1.3
民安东路,08:36:04,08:36:34,Class2,83,223.5,7.86
会展中心,08:37:50,08:38:20,Class2,76,216.94,-6.56
院士路,08:40:12,08:40:42,Class2,112,217.44,0.5
盎孟港,08:42:10,08:42:40,Class2,88,219.4,1.96
三官堂,08:44:59,08:45:29,Class3,139,218.84,-0.56
兴庄路,08:47:08,08:47:38,Class2,99,215.24,-3.6
兴海南路,08:49:14,08:49:44,Class4,96,215.64,0.4
梅堰,08:51:06,08:51:36,Class3,82,217.42,1.78
永茂路,08:56:34,08:57:04,Class2,298,215.84,-1.58
镇海大道,08:59:25,08:59:55,Class2,141,217.02,1.18
骆驼桥,09:01:51,-,Class2,116,215.34,-1.68
