站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,32,31,07/0570531,70531,5014,UP,工作日高峰,0.0,116.85,116.85,30.0,146.85,1428.21,1428.0,44.0,65.27,43.98,2338,63.75,1065,64.07,65.01,13372.61,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,32,31,07/0570531,70531,5014,UP,工作日高峰,0.0,151.7,151.7,30.0,181.7,2021.78,2017.0,47.98,63.74,47.96,3035,62.72,1802,63.43,63.5,17552.36,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,32,31,07/0570531,70531,5014,UP,工作日高峰,0.0,106.35,106.35,30.0,136.35,1330.96,1332.0,45.05,75.88,45.03,2128,73.83,676,74.15,75.72,14727.08,215.54,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,32,31,07/0570531,70531,5014,UP,工作日高峰,0.0,82.15,82.15,30.0,112.15,827.82,827.0,36.28,71.84,36.25,1644,70.17,234,70.91,71.72,11703.11,216.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,32,31,07/0570531,70531,5014,UP,工作日高峰,0.0,130.2,130.2,30.0,160.2,1861.18,1860.0,51.46,77.45,51.44,2605,76.78,1106,77.21,77.37,21586.02,216.84,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,32,31,07/0570531,70531,5014,UP,工作日高峰,0.0,94.7,94.7,30.0,124.7,1086.94,1086.0,41.32,77.24,41.3,1895,73.99,426,74.56,77.08,15461.38,217.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,32,31,07/0570531,70531,5014,UP,工作日高峰,0.0,89.25,89.25,30.0,119.25,984.35,984.0,39.7,77.24,39.68,1786,76.02,280,77.06,77.14,13379.51,217.44,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,32,31,07/0570531,70531,5014,UP,工作日高峰,0.0,127.45,127.45,30.0,157.45,1812.47,1811.0,51.2,76.83,51.18,2550,75.85,1106,76.2,76.6,19549.95,220.8,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,32,31,07/0570531,70531,5014,UP,工作日高峰,0.0,97.6,97.6,30.0,127.6,1168.81,1155.0,43.11,77.21,43.09,1953,76.33,469,77.01,77.14,15426.93,221.4,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,32,31,07/0570531,70531,5014,UP,工作日高峰,0.0,110.55,110.55,30.0,140.55,1452.09,1452.0,47.29,77.25,47.27,2212,76.68,719,77.18,77.22,21092.35,220.8,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
