Segment_ID,等级,时长
0,class2,128.35
1,class3,132.35
2,class3,132.6
3,class3,132.75
4,class2,127.65
5,class3,131.8
6,class3,132.65
7,class3,132.55
8,class3,132.15
9,class3,132.1
10,class3,131.75
11,class3,132.25
12,class3,131.3
13,class3,131.8
14,class1,122.65
15,class3,132.4
16,class2,128.7
17,class3,132.9
18,class4,134.75
19,class3,132.25
20,class3,131.5
21,class3,132.4
22,class3,132.3
23,class3,132.4
24,class2,127.45
25,class3,132.6
26,class2,127.3
27,class4,134.4
28,class3,132.85
29,class3,133.4
30,class3,132.9
31,class3,133.15
32,class4,133.7
33,class3,132.8
34,class2,127.25
