Segment_ID,等级,时长
0,class2,91.9
1,class2,93.45
2,class2,93.1
3,class2,93.4
4,class2,91.45
5,class2,91.8
6,class2,94.25
7,class2,91.8
8,class2,91.9
9,class2,94.05
10,class2,92.05
11,class2,93.05
12,class2,92.1
13,class2,93.05
14,class1,88.2
15,class2,92.05
16,class2,91.95
17,class2,93.95
18,class2,94.0
19,class2,93.45
20,class2,91.95
21,class2,93.9
22,class2,94.0
23,class2,93.95
24,class2,91.65
25,class2,94.05
26,class1,89.75
27,class2,93.7
28,class2,93.7
29,class2,93.55
30,class3,94.7
31,class2,93.8
32,class2,94.45
33,class1,89.1
