section,segment,rows,duration_s,distance_m,real_energy_wh,fusion_energy_wh,run_class,quality_label,service_no,date_service,figure
雅渡-庙堰,2,2623,131.1,1889.199,21079.578,21196.625,3,0,70802,07/0870802,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_002_07_0870802.jpg
雅渡-庙堰,3,2738,136.85,1889.729,19520.258,19723.368,4,0,70803,07/0870803,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_003_07_0870803.jpg
雅渡-庙堰,4,2602,130.05,1889.56,21163.427,21226.526,2,0,70804,07/0870804,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_004_07_0870804.jpg
雅渡-庙堰,5,2680,133.95,1890.098,20122.794,20423.637,3,0,70805,07/0870805,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_005_07_0870805.jpg
雅渡-庙堰,6,2624,131.15,1890.175,21081.358,21185.341,3,1,70806,07/0870806,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_006_07_0870806.jpg
雅渡-庙堰,7,2681,134.0,1889.697,19919.664,20033.587,3,0,70907,07/0970907,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_007_07_0970907.jpg
雅渡-庙堰,8,2661,133.0,1889.485,21239.447,21401.153,3,0,70908,07/0970908,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_008_07_0970908.jpg
雅渡-庙堰,9,2662,133.05,1889.623,20740.955,21022.051,3,0,70909,07/0970909,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_009_07_0970909.jpg
雅渡-庙堰,10,2731,136.5,1889.911,19541.402,19886.384,4,0,70910,07/0970910,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_010_07_0970910.jpg
雅渡-庙堰,11,2725,136.2,1889.885,19705.389,19922.433,4,0,70911,07/0970911,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_011_07_0970911.jpg
雅渡-庙堰,12,2678,133.85,1889.814,21276.069,21462.111,3,0,70912,07/0970912,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_012_07_0970912.jpg
雅渡-庙堰,13,2620,130.95,1889.331,21306.152,21556.54,3,0,70913,07/0970913,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_013_07_0970913.jpg
雅渡-庙堰,14,2567,128.3,1889.991,21121.87,21381.033,2,1,70914,07/0970914,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_014_07_0970914.jpg
雅渡-庙堰,15,2638,131.85,1889.381,20681.87,20792.91,3,0,71015,07/1071015,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_015_07_1071015.jpg
雅渡-庙堰,16,2605,130.2,1889.445,21911.201,21824.475,2,0,71016,07/1071016,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_016_07_1071016.jpg
雅渡-庙堰,17,2647,132.3,1889.933,21774.372,21911.138,3,0,71017,07/1071017,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_017_07_1071017.jpg
雅渡-庙堰,18,2713,135.6,1889.641,16666.723,16689.172,4,1,71018,07/1071018,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_018_07_1071018.jpg
雅渡-庙堰,19,2647,132.3,1889.487,20652.2,20615.242,3,0,71219,07/1271219,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_019_07_1271219.jpg
雅渡-庙堰,20,2601,130.0,1890.428,22749.737,22780.087,2,0,71220,07/1271220,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_020_07_1271220.jpg
雅渡-庙堰,21,2663,133.1,1889.537,20471.025,20691.774,3,0,71221,07/1271221,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_021_07_1271221.jpg
雅渡-庙堰,22,2640,131.95,1890.603,20568.129,20884.152,3,0,71222,07/1271222,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_022_07_1271222.jpg
雅渡-庙堰,23,2640,131.95,1889.408,20498.074,20747.515,3,0,71223,07/1271223,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_023_07_1271223.jpg
雅渡-庙堰,24,2583,129.1,1889.464,21805.303,21873.056,2,0,71224,07/1271224,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_024_07_1271224.jpg
雅渡-庙堰,25,2646,132.25,1889.602,20832.689,21017.297,3,0,71225,07/1271225,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_025_07_1271225.jpg
雅渡-庙堰,26,2641,132.0,1890.172,19217.9,19420.934,3,1,71226,07/1271226,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_026_07_1271226.jpg
雅渡-庙堰,27,2622,131.05,1888.281,21326.109,21367.281,3,0,71327,07/1371327,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_027_07_1371327.jpg
雅渡-庙堰,28,2620,130.95,1887.775,21852.297,21872.217,3,0,71328,07/1371328,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_028_07_1371328.jpg
雅渡-庙堰,29,2629,131.4,1888.147,21435.794,21563.732,3,0,71329,07/1371329,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_029_07_1371329.jpg
雅渡-庙堰,30,2638,131.85,1887.35,20789.424,20790.468,3,0,71330,07/1371330,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_030_07_1371330.jpg
雅渡-庙堰,31,2702,135.05,1888.319,19582.019,19680.884,3,0,71331,07/1371331,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_031_07_1371331.jpg
雅渡-庙堰,32,2625,131.2,1888.303,21075.921,21126.427,3,0,71332,07/1371332,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_032_07_1371332.jpg
雅渡-庙堰,33,2559,127.9,1888.064,18821.081,19122.607,2,1,71333,07/1371333,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\雅渡-庙堰\seg_033_07_1371333.jpg
