section,segment,rows,duration_s,distance_m,real_energy_wh,fusion_energy_wh,run_class,quality_label,service_no,date_service,figure
布政-张家潭,30,2339,116.9,1449.21,13404.178,13241.687,3,0,71330,07/1371330,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\布政-张家潭\seg_030_07_1371330.jpg
布政-张家潭,31,2346,117.25,1449.515,13850.456,13711.537,3,0,71331,07/1371331,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\布政-张家潭\seg_031_07_1371331.jpg
布政-张家潭,32,2381,119.0,1450.011,14239.145,14091.036,4,0,71332,07/1371332,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\布政-张家潭\seg_032_07_1371332.jpg
布政-张家潭,33,2277,113.8,1449.178,13624.784,13455.856,3,1,71333,07/1371333,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\布政-张家潭\seg_033_07_1371333.jpg
张家潭-同德路,0,3017,150.8,2053.639,17564.428,18050.442,3,0,70800,07/0870800,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_000_07_0870800.jpg
张家潭-同德路,1,3011,150.5,2053.635,17777.222,18002.663,3,0,70801,07/0870801,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_001_07_0870801.jpg
张家潭-同德路,2,3012,150.55,2053.631,18080.588,18218.718,3,0,70802,07/0870802,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_002_07_0870802.jpg
张家潭-同德路,3,3003,150.1,2053.366,18029.083,18229.343,3,0,70803,07/0870803,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_003_07_0870803.jpg
张家潭-同德路,4,3032,151.55,2053.741,16975.589,17026.241,3,0,70804,07/0870804,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_004_07_0870804.jpg
张家潭-同德路,5,3032,151.55,2054.33,17457.202,17590.968,3,0,70805,07/0870805,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_005_07_0870805.jpg
张家潭-同德路,6,3034,151.65,2054.635,17665.906,17759.921,3,1,70806,07/0870806,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_006_07_0870806.jpg
张家潭-同德路,7,3023,151.1,2053.342,18642.756,18431.13,3,0,70907,07/0970907,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_007_07_0970907.jpg
张家潭-同德路,8,3054,152.65,2053.524,17271.724,17853.333,3,0,70908,07/0970908,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_008_07_0970908.jpg
张家潭-同德路,9,3034,151.65,2053.625,17221.899,17607.003,3,0,70909,07/0970909,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_009_07_0970909.jpg
张家潭-同德路,10,3044,152.15,2054.437,17181.138,17295.581,3,0,70910,07/0970910,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_010_07_0970910.jpg
张家潭-同德路,11,3013,150.6,2053.566,18090.694,18200.306,3,0,70911,07/0970911,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_011_07_0970911.jpg
张家潭-同德路,12,3028,151.35,2053.758,17189.339,17354.147,3,0,70912,07/0970912,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_012_07_0970912.jpg
张家潭-同德路,13,3003,150.1,2053.326,17286.607,17540.218,3,0,70913,07/0970913,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_013_07_0970913.jpg
张家潭-同德路,14,2925,146.2,2053.661,18286.256,18365.853,2,1,70914,07/0970914,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_014_07_0970914.jpg
张家潭-同德路,15,3013,150.6,2053.8,18074.358,18209.605,3,0,71015,07/1071015,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_015_07_1071015.jpg
张家潭-同德路,16,3042,152.05,2052.548,17343.429,17199.879,3,0,71016,07/1071016,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_016_07_1071016.jpg
张家潭-同德路,17,3041,152.0,2053.77,17644.305,17852.215,3,0,71017,07/1071017,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_017_07_1071017.jpg
张家潭-同德路,18,3169,158.4,2053.014,13988.254,14220.39,4,1,71018,07/1071018,D:\energy_conservation\output\analysis\triple_axis_all_runs_first5\张家潭-同德路\seg_018_07_1071018.jpg
