站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,27.6,117.5,12947.63,13559.42,13109.88,历史原始实测能耗,611.79,real,class3,class3,80,80,strong,real_only,215.24
张家潭-同德路,class2,148.0,27.6,150.85,17599.22,18515.56,17917.49,历史原始实测能耗,916.34,real,class2,class2,8,8,strong,real_only,215.24
同德路-石碶,class3,109.0,27.6,110.95,13155.26,14539.57,14037.02,历史原始实测能耗,1384.31,real,class3,class3,60,60,strong,real_only,215.44
石碶-雅渡,class2,80.0,27.6,78.75,11129.1,12360.41,12213.85,历史原始实测能耗,1231.31,real,class2,class2,38,38,strong,real_only,215.74
雅渡-庙堰,class4,139.0,27.6,133.9,18200.35,20522.66,19173.05,历史原始实测能耗,2322.31,real,class4,class4,10,10,strong,real_only,215.84
庙堰-钟公庙,class3,96.0,27.6,96.45,12616.24,12989.32,12832.96,历史原始实测能耗,373.08,real,class3,class3,84,84,strong,real_only,216.34
钟公庙-鄞州区政府,class4,95.0,27.6,90.7,8062.65,10303.7,10213.35,历史原始实测能耗,2241.05,real,class4,class4,1,1,weak,real_only,217.1
鄞州区政府-钱湖南路,class3,132.0,27.6,127.25,16248.1,19266.81,18611.95,历史原始实测能耗,3018.71,real,class3,class3,62,62,strong,real_only,217.0
钱湖南路-南高教园区,class3,100.0,27.6,97.3,13742.64,15347.01,14851.69,历史原始实测能耗,1604.37,real,class3,class3,63,63,strong,real_only,217.11
南高教园区-下应路,class3,114.0,27.6,110.8,18652.31,21656.35,21138.24,历史原始实测能耗,3004.04,real,class3,class3,63,63,strong,real_only,217.9
下应路-大洋江,class3,106.0,27.6,105.55,11565.61,12896.94,12573.05,历史原始实测能耗,1331.33,real,class3,class3,65,65,strong,real_only,218.5
大洋江-泗港,class3,92.0,27.6,91.4,10963.47,12053.27,11762.41,历史原始实测能耗,1089.8,real,class3,class3,99,99,strong,real_only,219.2
泗港-曹隘,class4,137.0,27.6,134.8,23328.85,23129.68,22994.87,历史原始实测能耗,-199.17,real,class4,class4,82,82,strong,real_only,219.1
曹隘-柳隘,class4,113.0,27.6,106.0,16212.44,21350.68,21100.77,历史原始实测能耗,5138.24,real,class4,class4,1,1,weak,real_only,218.7
柳隘-海晏北路,class3,92.0,27.6,89.4,11659.18,14467.67,14473.81,历史原始实测能耗,2808.49,real,class3,class3,35,35,strong,real_only,218.8
海晏北路-民安东路,class3,85.0,27.6,83.9,14767.65,15906.41,15685.1,历史原始实测能耗,1138.76,real,class3,class3,41,41,strong,real_only,216.8
民安东路-会展中心,class3,79.0,27.6,76.6,11576.69,12285.91,12156.84,历史原始实测能耗,709.22,real,class3,class3,8,8,strong,real_only,216.14
会展中心-院士路,class3,115.0,27.6,114.9,14931.93,14892.68,14658.2,历史原始实测能耗,-39.25,real,class3,class3,104,104,strong,real_only,216.34
院士路-盎孟港,class3,91.0,27.6,90.85,17856.44,19915.72,19786.37,历史原始实测能耗,2059.28,real,class3,class3,99,99,strong,real_only,216.34
盎孟港-三官堂,class3,139.0,27.6,130.65,17115.04,19445.71,18902.71,历史原始实测能耗,2330.67,real,class3,class3,52,52,strong,real_only,216.24
三官堂-兴庄路,class3,104.0,27.6,101.45,10509.75,10839.37,10637.52,历史原始实测能耗,329.62,real,class3,class3,58,58,strong,real_only,215.94
兴庄路-兴海南路,class2,87.0,27.6,91.35,15816.73,11733.56,11582.03,历史原始实测能耗,-4083.17,real,class2,class2,30,30,strong,real_only,215.34
兴海南路-梅堰,class3,82.0,27.6,82.3,11310.93,13074.04,12999.34,历史原始实测能耗,1763.11,real,class3,class3,73,73,strong,real_only,215.44
梅堰-永茂路,class4,329.0,27.6,329.6,26368.47,26228.95,26022.75,历史原始实测能耗,-139.52,real,class4,class4,26,26,strong,real_only,215.34
永茂路-镇海大道,class4,156.0,27.6,142.6,15542.69,17480.31,17122.83,历史原始实测能耗,1937.62,real,class4,class4,1,1,weak,real_only,215.34
镇海大道-骆驼桥,class4,128.0,0.0,116.9,17274.17,20094.22,19705.22,历史原始实测能耗,2820.05,real,class4,class4,1,1,weak,real_only,215.34
--- 总计 ---,节能率: 8.40%,3063.0,690.0000000000001,3752.7,389153.54,424855.93,416263.3,历史原始实测能耗,35702.39,,,,,,,real_only,
