站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,24.2,117.5,12947.63,13559.42,13109.88,历史原始实测能耗,611.79,real,class3,class3,80,80,strong,energy_first,215.24
张家潭-同德路,class4,159.0,24.2,150.85,16531.83,18515.56,17917.49,历史原始实测能耗,1983.73,extrapolated_adjacent,class3,class3,0,54,generated,energy_first,215.24
同德路-石碶,class3,109.0,24.2,110.95,13155.26,14539.57,14037.02,历史原始实测能耗,1384.31,real,class3,class3,60,60,strong,energy_first,215.44
石碶-雅渡,class2,80.0,24.2,78.75,11129.1,12360.41,12213.85,历史原始实测能耗,1231.31,real,class2,class2,38,38,strong,energy_first,215.74
雅渡-庙堰,class4,139.0,24.2,133.9,18200.35,20522.66,19173.05,历史原始实测能耗,2322.31,real,class4,class4,10,10,strong,energy_first,215.84
庙堰-钟公庙,class4,101.0,24.2,96.45,10960.43,12989.32,12832.96,历史原始实测能耗,2028.89,extrapolated_adjacent,class3,class3,0,84,generated,energy_first,216.34
钟公庙-鄞州区政府,class4,95.0,24.2,90.7,8062.65,10303.7,10213.35,历史原始实测能耗,2241.05,real,class4,class4,1,1,weak,energy_first,217.1
鄞州区政府-钱湖南路,class4,139.0,24.2,127.25,15460.68,19266.81,18611.95,历史原始实测能耗,3806.13,extrapolated_adjacent,class3,class3,0,62,generated,energy_first,217.0
钱湖南路-南高教园区,class4,105.0,24.2,97.3,11928.66,15347.01,14851.69,历史原始实测能耗,3418.35,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,217.11
南高教园区-下应路,class4,120.0,24.2,110.8,16838.18,21656.35,21138.24,历史原始实测能耗,4818.17,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,217.9
下应路-大洋江,class3,106.0,24.2,105.55,11565.61,12896.94,12573.05,历史原始实测能耗,1331.33,real,class3,class3,65,65,strong,energy_first,218.5
大洋江-泗港,class4,96.0,24.2,91.4,9754.27,12053.27,11762.41,历史原始实测能耗,2299.0,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,219.2
泗港-曹隘,class4,137.0,24.2,134.8,23328.85,23129.68,22994.87,历史原始实测能耗,-199.17,real,class4,class4,82,82,strong,energy_first,219.1
曹隘-柳隘,class4,113.0,24.2,106.0,16212.44,21350.68,21100.77,历史原始实测能耗,5138.24,real,class4,class4,1,1,weak,energy_first,218.7
柳隘-海晏北路,class4,96.0,24.2,89.4,10473.38,14467.67,14473.81,历史原始实测能耗,3994.29,extrapolated_adjacent,class3,class3,0,35,generated,energy_first,218.8
海晏北路-民安东路,class4,89.0,24.2,83.9,12388.38,15906.41,15685.1,历史原始实测能耗,3518.03,extrapolated_adjacent,class3,class3,0,41,generated,energy_first,216.8
民安东路-会展中心,class4,83.0,24.2,76.6,6860.58,12285.91,12156.84,历史原始实测能耗,5425.33,extrapolated_adjacent,class3,class3,0,8,generated,energy_first,216.14
会展中心-院士路,class4,121.0,24.2,114.9,13313.02,14892.68,14658.2,历史原始实测能耗,1579.66,extrapolated_adjacent,class3,class3,0,104,generated,energy_first,216.34
院士路-盎孟港,class4,96.0,24.2,90.85,14061.71,19915.72,19786.37,历史原始实测能耗,5854.01,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,216.34
盎孟港-三官堂,class4,146.0,24.2,130.65,16469.59,19445.71,18902.71,历史原始实测能耗,2976.12,extrapolated_adjacent,class3,class3,0,52,generated,energy_first,216.24
三官堂-兴庄路,class4,109.0,24.2,101.45,9968.64,10839.37,10637.52,历史原始实测能耗,870.73,extrapolated_adjacent,class3,class3,0,58,generated,energy_first,215.94
兴庄路-兴海南路,class4,96.0,24.2,91.35,9433.42,11733.56,11582.03,历史原始实测能耗,2300.14,extrapolated_adjacent,class3,class3,0,72,generated,energy_first,215.34
兴海南路-梅堰,class4,86.0,24.2,82.3,9580.99,13074.04,12999.34,历史原始实测能耗,3493.05,extrapolated_adjacent,class3,class3,0,73,generated,energy_first,215.44
梅堰-永茂路,class4,329.0,24.2,329.6,26368.47,26228.95,26022.75,历史原始实测能耗,-139.52,real,class4,class4,26,26,strong,energy_first,215.34
永茂路-镇海大道,class4,156.0,24.2,142.6,15542.69,17480.31,17122.83,历史原始实测能耗,1937.62,real,class4,class4,1,1,weak,energy_first,215.34
镇海大道-骆驼桥,class4,128.0,0.0,116.9,17274.17,20094.22,19705.22,历史原始实测能耗,2820.05,real,class4,class4,1,1,weak,energy_first,215.34
--- 总计 ---,节能率: 15.78%,3149.0,605.0,3752.7,357810.98,424855.93,416263.3,历史原始实测能耗,67044.95,,,,,,,energy_first,
