station_pair,status,message,n_generated,n_overspeed,n_infeasible,output_dir,summary_csv,class2_compare_status,class2_compare_message,class2_real_sample_count,class2_compare_metrics_csv
大洋江-泗港,success,生成完成,3,2,0,D:\energy_conservation\output\ato_generated_results_new\大洋江-泗港,D:\energy_conservation\output\ato_generated_results_new\大洋江-泗港\all_classes_summary.csv,skipped,class2 未生成成功，跳过真实对比,0,
泗港-曹隘,success,生成完成,2,3,0,D:\energy_conservation\output\ato_generated_results_new\泗港-曹隘,D:\energy_conservation\output\ato_generated_results_new\泗港-曹隘\all_classes_summary.csv,skipped,class2 未生成成功，跳过真实对比,0,
曹隘-柳隘,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new\曹隘-柳隘,D:\energy_conservation\output\ato_generated_results_new\曹隘-柳隘\all_classes_summary.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new\曹隘-柳隘\class2_generated_vs_real_metrics.csv
柳隘-海晏北路,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new\柳隘-海晏北路,D:\energy_conservation\output\ato_generated_results_new\柳隘-海晏北路\all_classes_summary.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new\柳隘-海晏北路\class2_generated_vs_real_metrics.csv
海晏北路-民安东路,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new\海晏北路-民安东路,D:\energy_conservation\output\ato_generated_results_new\海晏北路-民安东路\all_classes_summary.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new\海晏北路-民安东路\class2_generated_vs_real_metrics.csv
民安东路-会展中心,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new\民安东路-会展中心,D:\energy_conservation\output\ato_generated_results_new\民安东路-会展中心\all_classes_summary.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new\民安东路-会展中心\class2_generated_vs_real_metrics.csv
会展中心-院士路,success,生成完成,3,2,0,D:\energy_conservation\output\ato_generated_results_new\会展中心-院士路,D:\energy_conservation\output\ato_generated_results_new\会展中心-院士路\all_classes_summary.csv,skipped,class2 未生成成功，跳过真实对比,0,
院士路-盎孟港,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new\院士路-盎孟港,D:\energy_conservation\output\ato_generated_results_new\院士路-盎孟港\all_classes_summary.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new\院士路-盎孟港\class2_generated_vs_real_metrics.csv
盎孟港-三官堂,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new\盎孟港-三官堂,D:\energy_conservation\output\ato_generated_results_new\盎孟港-三官堂\all_classes_summary.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new\盎孟港-三官堂\class2_generated_vs_real_metrics.csv
三官堂-兴庄路,success,生成完成,5,0,0,D:\energy_conservation\output\ato_generated_results_new\三官堂-兴庄路,D:\energy_conservation\output\ato_generated_results_new\三官堂-兴庄路\all_classes_summary.csv,no_real_runs,未找到真实 class2 样本，跳过对比,0,
兴庄路-兴海南路,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new\兴庄路-兴海南路,D:\energy_conservation\output\ato_generated_results_new\兴庄路-兴海南路\all_classes_summary.csv,no_real_runs,未找到真实 class2 样本，跳过对比,0,
兴海南路-梅堰,success,生成完成,3,2,0,D:\energy_conservation\output\ato_generated_results_new\兴海南路-梅堰,D:\energy_conservation\output\ato_generated_results_new\兴海南路-梅堰\all_classes_summary.csv,skipped,class2 未生成成功，跳过真实对比,0,
梅堰-永茂路,success,生成完成,3,2,0,D:\energy_conservation\output\ato_generated_results_new\梅堰-永茂路,D:\energy_conservation\output\ato_generated_results_new\梅堰-永茂路\all_classes_summary.csv,skipped,class2 未生成成功，跳过真实对比,0,
永茂路-镇海大道,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\all_classes_summary.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_metrics.csv
镇海大道-骆驼桥,success,生成完成,4,1,0,D:\energy_conservation\output\ato_generated_results_new\镇海大道-骆驼桥,D:\energy_conservation\output\ato_generated_results_new\镇海大道-骆驼桥\all_classes_summary.csv,no_real_runs,未找到真实 class2 样本，跳过对比,0,
